date,n,wr,pnl,mean_pm,breakeven_no
2026-06-17,37,0.7567567567567568,101.2,0.2786486486486487,0.7213513513513513
2026-06-18,19,0.7894736842105263,48.849999999999994,0.23473684210526316,0.7652631578947369
2026-06-19,42,0.6904761904761905,-24.060000000000002,0.2897619047619048,0.7102380952380952
2026-06-20,19,0.7368421052631579,28.299999999999994,0.2984210526315789,0.7015789473684211
2026-06-21,27,0.8518518518518519,263.73,0.2796296296296296,0.7203703703703703
2026-06-22,12,0.5,-153.03000000000003,0.24916666666666668,0.7508333333333334
2026-06-23,38,0.8421052631578947,448.85,0.29710526315789476,0.7028947368421052
2026-06-24,18,0.7222222222222222,-68.47999999999999,0.3005555555555556,0.6994444444444444
2026-06-25,28,0.8214285714285714,191.9,0.26857142857142857,0.7314285714285714
2026-06-26,19,0.631578947368421,-100.85999999999999,0.26789473684210524,0.7321052631578948
2026-06-27,8,0.375,-41.36,0.5125,0.48750000000000004
2026-06-28,29,0.6206896551724138,306.49,0.3727586206896552,0.6272413793103448
2026-06-29,30,0.8333333333333334,179.35000000000002,0.259,0.741
2026-06-30,50,0.78,454.61,0.3226,0.6774
2026-07-01,23,0.782608695652174,-1.490000000000009,0.2917391304347826,0.7082608695652174
2026-07-02,6,0.3333333333333333,-233.37,0.19499999999999998,0.805
2026-07-03,19,0.7894736842105263,63.67,0.28578947368421054,0.7142105263157894
2026-07-04,15,0.6,-58.2,0.514,0.486
2026-07-05,30,0.5666666666666667,-274.56,0.4086666666666667,0.5913333333333333
