date,n,wr,pnl,mean_pm
2026-04-06,39,0.717948717948718,-23.950000000000003,0.33051282051282055
2026-04-07,22,0.5454545454545454,-51.690000000000005,0.3281818181818182
2026-04-08,2,0.0,-28.4,0.3025
2026-04-16,62,0.6290322580645161,-91.07,0.44137096774193546
2026-04-17,93,0.6989247311827957,105.12999999999998,0.4361827956989247
2026-04-18,37,0.4594594594594595,-181.85,0.47054054054054056
2026-04-19,20,0.55,-82.02000000000001,0.409
2026-04-22,3,0.6666666666666666,3.8100000000000005,0.31666666666666665
2026-04-27,35,0.6857142857142857,67.38,0.4087142857142857
2026-04-28,35,0.7428571428571429,-20.39,0.3028571428571428
2026-04-29,20,0.55,-122.06,0.267
2026-04-30,54,0.7407407407407407,119.65,0.4561111111111111
2026-05-01,26,0.5384615384615384,-153.9,0.445
2026-05-02,30,0.4666666666666667,283.5,0.42566666666666664
2026-05-03,41,0.34146341463414637,-401.16,0.42634146341463414
2026-05-04,58,0.5172413793103449,165.0,0.45068965517241383
2026-05-05,57,0.47368421052631576,405.34,0.41245614035087724
2026-05-06,30,0.4666666666666667,57.58000000000005,0.4796666666666667
2026-05-07,9,0.6666666666666666,-30.32,0.34777777777777774
2026-05-08,25,0.56,-156.59,0.3872
2026-05-09,4,0.5,-54.970000000000006,0.37
2026-05-10,22,0.45454545454545453,101.66000000000001,0.3909090909090909
2026-05-11,28,0.32142857142857145,-227.57,0.5896428571428572
2026-05-14,5,0.2,-178.24,0.6199999999999999
2026-05-28,27,0.6666666666666666,128.73000000000002,0.39111111111111113
2026-05-29,28,0.6071428571428571,733.21,0.5321428571428571
2026-05-30,7,0.0,-339.78,0.7385714285714285
2026-06-01,12,0.6666666666666666,283.05,0.5366666666666666
2026-06-02,24,0.5416666666666666,-156.56,0.47208333333333335
2026-06-03,13,0.7692307692307693,-23.4,0.21923076923076923
2026-06-04,13,0.46153846153846156,135.16,0.5915384615384615
2026-06-05,7,0.42857142857142855,-129.48,0.4928571428571429
2026-06-06,4,0.5,16.849999999999994,0.5875
2026-06-07,18,0.2777777777777778,-527.3,0.3961111111111111
2026-06-15,1,0.0,-50.04,0.82
2026-06-17,19,0.5263157894736842,-245.53,0.31
2026-06-20,2,0.5,-9.129999999999999,0.29000000000000004
2026-06-21,25,0.88,209.66,0.3172
2026-06-22,9,0.4444444444444444,-150.1,0.24777777777777776
2026-06-23,13,0.6153846153846154,-76.3,0.2684615384615385
2026-06-24,18,0.7222222222222222,-70.41,0.3005555555555556
2026-06-25,27,0.8148148148148148,175.32999999999998,0.2688888888888889
2026-06-26,28,0.6785714285714286,-21.259999999999984,0.30357142857142855
2026-06-27,40,0.7,48.36,0.344
2026-06-28,29,0.6206896551724138,263.86,0.3727586206896552
2026-06-29,30,0.8333333333333334,171.02,0.259
2026-06-30,50,0.78,395.37,0.3226
2026-07-01,23,0.782608695652174,3.489999999999995,0.2917391304347826
2026-07-02,6,0.3333333333333333,-233.13,0.19499999999999998
2026-07-03,19,0.7894736842105263,40.4,0.28578947368421054
2026-07-04,15,0.6,-67.07000000000001,0.514
2026-07-05,30,0.5666666666666667,-245.61999999999998,0.4086666666666667
