logged_at,contract_ticker,close_ts,spot,strike,p_market,tau_minutes,spread,p_model_yes,p_model_no,bp_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,offset_pct,resolved_yes,spot_at_expiry,price_move_pct,miss_pct,p_up_v2_btc,z_drift_6h,hmm_vol_state,vwap_hmm_state,edge_yes,edge_no,model_side,be,won,trade_edge,close_ts_dt,iso_week,donchian_breakout_1h_recon,donch_1h_pos_recon,kc_pct_1h_recon,kc_bo_1h_recon,arima_forecast_1h_recon,hurst_exponent_recon,ou_theta_recon,autocorr1_15_recon,autocorr1_30_recon,kalman_velocity_recon,kalman_residual_recon,macro_bull_recon,macro_sideways_recon,macro_bear_recon
2026-05-23 20:31:43+00:00,KXSOL15M-26MAY231645-45,2026-05-23T20:45:00Z,84.99,84.79,0.905,13.3,0.03,0.788,0.788,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.002673,0.438871,4.0,100.0,100.0,-0.340695,0.152726,0.270525,0.414495,1.0,,999.0,0.4402,0.968729,,0.533333,0.188857,1.0,4.0,93.802817,0.0,54.477612,,,0.0,0.0,1.0,-0.02424,75.15,29.0,0.0,0.244146,1.0,86.47,1.7414,1.9814,,,,5,-0.1169999999999999,0.6930000000000001,NO,0.0949999999999999,False,-0.0949999999999999,2026-05-23 20:45:00+00:00,2026-W21,1,1.0,1.5118203864830786,1,-0.00034444937819234363,0.6620822617001388,1.3222424560776396,0.2423553498629602,0.08549277548698399,0.006126527691639793,0.007612849199269172,6.524318192349756e-17,0.9999999999970441,2.9514769564265472e-12
2026-05-23 20:36:45+00:00,KXSOL15M-26MAY231645-45,2026-05-23T20:45:00Z,85.29,84.79,0.97,8.2,0.02,0.9067,0.9067,0.766667,28.681254,1.0,1.0,1.0,1.0,0.0,0.0,0.002667,0.438871,4.0,100.0,100.0,0.175871,0.199367,0.37594,0.404483,1.0,,999.0,0.4402,1.061677,,0.533333,0.188857,1.0,4.0,93.802817,0.0,54.477612,,,0.0,0.0,0.998222,-0.02424,75.15,29.0,0.0,0.595031,1.0,86.47,1.3835,1.9814,,,,5,-0.0633,0.8766999999999999,NO,0.03,False,-0.03,2026-05-23 20:45:00+00:00,2026-W21,1,1.0,1.5118203864830786,1,-0.00034444937819234363,0.6620822617001388,1.3222424560776396,0.2423553498629602,0.08549277548698399,0.006126527691639793,0.007612849199269172,6.524318192349756e-17,0.9999999999970441,2.9514769564265472e-12
2026-05-23 20:41:47+00:00,KXSOL15M-26MAY231645-45,2026-05-23T20:45:00Z,86.3,84.79,0.995,3.2,0.008,0.9437,0.9437,0.857143,210.385703,1.0,1.0,1.0,1.0,0.0,0.0,0.002637,0.438871,4.0,84.736842,88.75969,0.081065,1.076149,1.515508,0.477631,1.0,,999.0,0.3333,1.550592,,0.533333,0.188857,1.0,4.0,93.802817,,54.477612,,,0.0,0.0,0.999406,-0.02424,75.15,29.0,0.0,1.783324,1.0,86.47,0.197,1.9814,,,,5,-0.0513,0.9387,NO,0.005,False,-0.005,2026-05-23 20:45:00+00:00,2026-W21,1,1.0,1.5118203864830786,1,-0.00034444937819234363,0.6620822617001388,1.3222424560776396,0.2423553498629602,0.08549277548698399,0.006126527691639793,0.007612849199269172,6.524318192349756e-17,0.9999999999970441,2.9514769564265472e-12
2026-05-23 20:51:53+00:00,KXSOL15M-26MAY231700-00,2026-05-23T21:00:00Z,86.42,86.34,0.515,8.1,0.03,0.6237,0.6237,0.807692,7.992373,1.0,0.909091,0.909091,1.0,0.090909,0.0,0.004058,5.321138,5.0,93.298969,95.038168,0.080794,0.440682,1.310095,0.512051,1.0,,999.0,0.4402,1.545225,,0.533333,0.188857,1.0,4.0,93.802817,,54.477612,,,0.0,0.0,1.0,-0.853609,75.0,29.0,0.0,0.097291,1.0,87.4,1.134,1.2277,,,,5,0.1087,0.1387,NO,0.485,False,-0.485,2026-05-23 21:00:00+00:00,2026-W21,1,1.0,1.5118203864830786,1,-0.00034444937819234363,0.6620822617001388,1.3222424560776396,0.2423553498629602,0.08549277548698399,0.006126527691639793,0.007612849199269172,6.524318192349756e-17,0.9999999999970441,2.9514769564265472e-12
2026-05-23 20:56:55+00:00,KXSOL15M-26MAY231700-00,2026-05-23T21:00:00Z,86.76,86.34,0.985,3.1,0.01,0.9113,0.9113,0.272727,0.978378,1.0,0.909091,0.909091,1.0,0.090909,0.0,0.004044,5.321138,5.0,99.526066,99.641577,0.288584,0.334834,0.567064,0.820896,1.0,,999.0,0.3333,1.249726,,0.533333,0.188857,1.0,4.0,93.802817,,54.477612,,,0.0,0.0,0.994462,-0.853609,75.0,29.0,0.0,0.485299,1.0,87.4,0.7377,1.2277,,,,5,-0.0736999999999999,0.8963,NO,0.015,False,-0.015,2026-05-23 21:00:00+00:00,2026-W21,1,1.0,1.5118203864830786,1,-0.00034444937819234363,0.6620822617001388,1.3222424560776396,0.2423553498629602,0.08549277548698399,0.006126527691639793,0.007612849199269172,6.524318192349756e-17,0.9999999999970441,2.9514769564265472e-12
2026-05-28 17:48:42+00:00,KXSOL15M-26MAY281400-00,2026-05-28T18:00:00Z,82.32,82.22,0.73,11.3,0.02,0.6963,0.6963,0.3,3.831484,1.0,0.478261,0.695652,1.0,0.304348,0.217391,0.003518,0.793103,3.0,82.142857,92.1875,0.0,0.072842,0.084993,0.452964,1.0,,999.0,0.4402,0.552375,,1.0,1.269724,1.0,3.0,100.0,,50.105708,,,0.0,0.0,1.0,-0.410222,78.51,23.0,1.0,0.119795,0.0,82.28,-0.0486,0.073,,1.420592,,5,-0.0336999999999999,0.4263,NO,0.27,True,0.73,2026-05-28 18:00:00+00:00,2026-W22,0,0.761092150170648,0.8393442728376026,0,-0.00012275139782702248,0.6834078627756366,2.1711499894218815,-0.14006501331910237,-0.09703129754770742,-9.409822242082214e-05,-0.003407502242679661,3.668515396720405e-11,0.9748534495100405,0.025146550453270192
2026-05-28 18:03:51+00:00,KXSOL15M-26MAY281415-15,2026-05-28T18:15:00Z,82.45,82.19,0.8925,11.2,0.025,0.8733,0.8733,0.0,0.02843,1.0,0.885714,0.0,-1.0,0.114286,0.0,0.003391,1.25,1.0,98.461538,99.479167,0.0,0.413474,0.169841,0.471957,1.0,,999.0,0.4402,0.601166,,0.461538,0.121758,1.0,4.0,86.434109,0.0,71.428571,,,0.0,-2.0,-1.0,-0.022402,78.46,23.0,1.0,0.318537,1.0,82.81,0.4366,0.7543,,1.34431,,5,-0.0191999999999999,0.7657999999999999,NO,0.1075,False,-0.1075,2026-05-28 18:15:00+00:00,2026-W22,1,1.0,1.0500506574341433,1,-8.729609380467209e-05,0.6720911559754207,2.2745400816901493,-0.11621009899415641,-0.08420424136329857,0.0013898521692645776,0.0012591554455835211,1.1696040870323153e-10,0.9425470056876019,0.05745299419544504
2026-05-28 18:08:52+00:00,KXSOL15M-26MAY281415-15,2026-05-28T18:15:00Z,82.67,82.19,0.985,6.1,0.01,0.9501,0.9501,1.0,0.723033,1.0,0.885714,0.0,-1.0,0.114286,0.0,0.003381,1.25,1.0,100.0,100.0,0.16943,0.266376,0.460997,0.732028,1.0,,999.0,0.4402,0.657387,,0.461538,0.121758,1.0,4.0,86.434109,0.0,71.428571,,,0.0,0.0,0.999934,-0.022402,78.46,23.0,1.0,0.589257,1.0,82.81,0.1693,0.7543,,1.34431,,5,-0.0349,0.9351,NO,0.015,False,-0.015,2026-05-28 18:15:00+00:00,2026-W22,1,1.0,1.0500506574341433,1,-8.729609380467209e-05,0.6720911559754207,2.2745400816901493,-0.11621009899415641,-0.08420424136329857,0.0013898521692645776,0.0012591554455835211,1.1696040870323153e-10,0.9425470056876019,0.05745299419544504
2026-05-28 18:18:57+00:00,KXSOL15M-26MAY281430-30,2026-05-28T18:30:00Z,82.69,82.6,0.75,11.0,0.04,0.7507,0.7507,0.5,0.0,1.0,0.946429,0.946429,1.0,0.053571,0.0,0.003709,1.823256,0.0,92.771084,97.285068,0.0,0.0,0.266376,0.522429,1.0,,999.0,0.4402,0.477995,,0.461538,0.121758,1.0,4.0,86.434109,0.0,71.428571,,,0.0,0.0,1.0,-0.175995,78.38,23.0,1.0,0.117197,0.0,82.63,-0.0726,0.0363,,1.319123,,5,0.0007,0.5007,NO,0.25,True,0.75,2026-05-28 18:30:00+00:00,2026-W22,1,1.0,1.0500506574341433,1,-8.729609380467209e-05,0.6720911559754207,2.2745400816901493,-0.11621009899415641,-0.08420424136329857,0.0013898521692645776,0.0012591554455835211,1.1696040870323153e-10,0.9425470056876019,0.05745299419544504
2026-05-28 18:34:05+00:00,KXSOL15M-26MAY281445-45,2026-05-28T18:45:00Z,82.56,82.51,0.645,10.9,0.05,0.751,0.751,0.0,0.034954,1.0,0.75,0.0,-1.0,0.25,0.0,0.003691,0.786885,0.0,63.636364,89.140271,0.0,0.0,-0.217365,0.243695,-1.0,,999.0,0.4402,0.357875,,0.461538,0.121758,1.0,4.0,86.434109,0.0,71.428571,,,0.0,-2.0,-1.0,0.30842,78.41,23.0,1.0,0.068237,1.0,82.89,0.3997,0.4606,,1.13623,,5,0.1059999999999999,0.396,NO,0.355,False,-0.355,2026-05-28 18:45:00+00:00,2026-W22,1,1.0,1.0500506574341433,1,-8.729609380467209e-05,0.6720911559754207,2.2745400816901493,-0.11621009899415641,-0.08420424136329857,0.0013898521692645776,0.0012591554455835211,1.1696040870323153e-10,0.9425470056876019,0.05745299419544504
