feature,mean_abs_ic,same_sign,btc_ic,eth_ic,sol_ic
cand_rsi_1h_minus_4h,0.19260617223717888,True,-0.20484083925821822,-0.1867734634926698,-0.18620421396064857
cur_trend_wpr_4h,0.14772554843244154,True,0.14527112696634217,0.14497763964499502,0.15292787868598745
cur_trend_stoch_4h,0.14772510961836696,True,0.14527374618889746,0.14497763964499502,0.15292394302120843
cur_trend_bb_4h,0.1242895968842554,True,0.12168273693783571,0.11909932841394683,0.13208672530098364
cur_trend_keltner_4h,0.11929463902913635,True,0.11728515985199864,0.11289412817623036,0.1277046290591801
cur_rev_rsi_4h,0.10237616471035517,True,0.10083936053016777,0.09667976561554159,0.10960936798535613
cur_rev_stoch_15m,0.0729001357569861,True,-0.10323490747870015,-0.06408082254738953,-0.051384677244868636
cur_rev_dc_15m,0.06283825483077382,True,-0.0846898793063715,-0.05794976000760046,-0.045875125178349505
cur_rev_keltner_15m,0.05592920847024021,True,-0.07596954206652802,-0.05189282190125721,-0.039925261442935414
cand_ret_1h,0.05514739860374069,True,-0.07469825883567341,-0.04883703276726849,-0.04190690420828017
cand_ret_2h,0.051896170027556955,True,-0.06041330861939948,-0.04932403061721773,-0.04595117084605367
cur_rev_move_z,0.04832784988988479,True,-0.07361933598157357,-0.04009596327428837,-0.031268250413792435
cand_ret_24h,0.04668493962570946,True,-0.04865712359191004,-0.05603388832729909,-0.03536380695791924
cur_rev_wpr_1h,0.04386002040365478,True,-0.06200866185291297,-0.039826843460997026,-0.029744555897054364
cur_rev_stoch_1h,0.0438542623490473,True,-0.062001203084741156,-0.03982685997652318,-0.029734723985877575
cur_trend_macd_4h,0.04335371792853924,True,0.04011777500746528,0.04040606103460871,0.04953731774354374
cur_rev_vwap,0.03957894921681432,True,-0.0481904082458684,-0.036068072545002564,-0.03447836685957199
cur_rev_rsi_1h,0.036883131719923294,True,-0.04507346823807173,-0.04150116951958033,-0.02407475740211783
cand_breadth_15m_2h,0.03377780800406976,True,-0.02607531522569277,-0.034729870754622506,-0.04052823803189398
cand_ret_4h,0.03247426118876928,True,-0.04173496105560076,-0.030562085495036972,-0.025125737015670106
cand_ema_slope_1h,0.025496235074960728,True,-0.027321269023396235,-0.031658616217998904,-0.01750881998348705
cand_range_pct,0.023388622689624387,True,0.02538580541643294,0.02539487154209755,0.01938519111034268
cand_ret_12h,0.0217806446846763,True,-0.02936262074917759,-0.02382661014160321,-0.012152703163248096
cand_ema_20_vs_50,0.021242758196819825,True,-0.022198455664388717,-0.02362712478312858,-0.017902694142942186
cand_mfi_1h,0.018355788801903177,True,-0.027601755886974864,-0.013136460105346106,-0.014329150413388557
cand_hour_cos,0.01598638516180845,True,0.0039865084211896966,0.01913498175389591,0.024837665310339742
cand_adx_1h,0.01419982103868215,True,0.01661951759562038,0.01734247730530093,0.008637468215125153
cand_vol_regime,0.010757993353162179,True,0.017663643376602967,0.011568996441753517,0.0030413402411300487
cand_vol_of_vol,0.008869851716020302,True,0.012772150334966982,0.006981372127305677,0.006856032685788246
cand_adx_4h,0.00699861293940988,True,-0.0015560090072973165,-0.00404113432950717,-0.015398695481425152
cand_session_asia,0.006676681878899751,False,-0.00026025815015349004,0.009896662533775472,0.00987312495277029
cand_dow_mon,0.006597713159039281,False,0.004364178262113885,-0.0008243777891172495,-0.014604583425886709
cand_session_eu,0.006305818078196477,True,-0.0014263672661505348,-0.008525051668383474,-0.00896603530005542
cand_bb_squeeze,0.0059671361175946515,True,0.01137009469375195,0.0043685734551307505,0.0021627402039012546
cand_hour_sin,0.004782431812675171,True,-0.0057697123859313535,-0.0042450139883936505,-0.0043325690637005115
cand_dow_fri,0.004724727999592316,True,0.0016875012036571876,0.00023299036997767792,0.012253692425142081
cand_session_us,0.0043629510346888745,False,0.004985317635092595,-0.0004913018084860921,-0.007612233660487937
cand_vol_accel,0.0043065020275620215,True,0.0041127434844832975,0.0045603124096009464,0.0042464501886018205
cand_dow_weekend,0.001692132775661935,False,-0.002731141189938592,0.001723852236742485,0.0006214049003047284
cur_trend_vol_4h,0.0011193476258035654,False,-0.0015653621414306108,-0.0001570813776091893,0.001635599358370896
