asset,variant,C,n_nonzero,auc,ic,log_loss
SOL,A_individual,1.0,17,0.6669907464338417,0.35320212612851204,0.649060292963962
SOL,B_composite,1.0,15,0.6517205689457288,0.32044143283848525,0.6568058392490222
SOL,C_agreement,10.0,16,0.6522688145597639,0.32333128369152003,0.6567756848236224
SOL,D_hybrid,5.0,18,0.6674237067552058,0.35574958813437774,0.6488942592270309
