feature,mean_abs_ic,same_sign,btc_ic,eth_ic,sol_ic
p2_stoch_1h_minus_4h,0.19294279082135354,True,-0.2088262858411203,-0.1844279286360084,-0.18557415798693191
p2_bb_1h_minus_4h,0.18826635178474213,True,-0.1946810598017742,-0.18521134700906405,-0.1849066485433881
p2_rsi_1h_minus_1d,0.07460049705145501,True,-0.07655182308589024,-0.07491981761045266,-0.07232985045802212
p2_rsi_4h_minus_1d,0.06391541359775282,True,0.07080678228911548,0.05052227421742275,0.07041718428672022
p2_wick_asymmetry_4h,0.050945648157311306,True,-0.06987228707314919,-0.05326108187674727,-0.02970357552203745
p2_move_z_72h,0.05005760693148712,True,-0.0734018322734924,-0.04142204963095152,-0.035348938890017445
p2_macd_1h_minus_4h,0.047636869079470456,True,-0.04768067267849503,-0.04693222069189647,-0.048297713868019884
p2_upper_wick_avg_4h,0.04614476521509563,True,0.06804648067021084,0.04446014734838616,0.025927667626689903
p2_drawdown_24h,0.04579518017455055,True,-0.0593643018808467,-0.04349701642717476,-0.03452422221563018
p2_alt_minus_btc_1h,0.039385019343887134,True,-0.041682757021961496,-0.03708728166581278,
p2_lower_wick_avg_4h,0.036331496135466566,True,-0.051609973307146915,-0.036200194097883116,-0.021184321001369653
p2_rally_from_low_24h,0.033375985273200195,True,-0.033326298176911996,-0.038264493948509205,-0.028537163694179385
p2_trend_efficiency_6h,0.030856250662678174,True,-0.0401604123431237,-0.03049392255506435,-0.021914417089846466
p2_stretch_sma50,0.03032925105002537,True,-0.036481020677573035,-0.03489812652260116,-0.019608605949901926
p2_alt_minus_btc_4h,0.02985268865320826,True,-0.0312461397990896,-0.02845923750732692,
p2_stretch_session,0.029575905899492532,True,-0.03606617938777748,-0.031583798584684956,-0.021077739726015156
p2_cmf_20h,0.02386917266067552,True,-0.031166645136392997,-0.018163685465956394,-0.02227718737967717
p2_obv_slope_24h,0.023448732368392483,True,-0.021961769382505925,-0.02729935014331019,-0.021085077579361334
p2_btc_ret_1h,0.01931515626272079,True,-0.021915825520888783,-0.0167144870045528,
p2_stretch_sma200,0.018536329360493698,True,-0.021443624835180444,-0.022463357698509455,-0.011702005547791204
p2_range_regime,0.013386871320492738,True,0.016086737655133753,0.014297912372142757,0.009775963934201708
p2_cum_abs_24h,0.013103809899275487,True,0.018854863434601483,0.01321181768324927,0.007244748579975704
p2_btc_ret_4h,0.012364859904984687,True,-0.012918556698398653,-0.011811163111570723,
p2_cum_abs_6h,0.011996938858934278,True,0.017290890881318324,0.015059820567069691,0.0036401051284148224
p2_rsi_15m_minus_1h,0.011831617988523441,True,-0.018948514673722452,-0.008425025914958436,-0.008121313376889434
p2_skew_24h,0.007586043126219082,True,-0.01615739737872936,-0.0036289495533620036,-0.002971782446565879
p2_vol_price_corr_24h,0.004384462629392817,False,-0.0031626088306573124,-0.006459634816595208,0.0035311442409259315
p2_autocorr_24h,0.00418387247975936,False,0.0038055028371554414,-0.008661984312771806,-8.4130289350831e-05
