asset,variant,C,n_nonzero,auc,ic,log_loss
ETH,A_individual,0.05,14,0.6601888311869479,0.31582011957981904,0.6506261366973196
ETH,B_composite,0.1,13,0.6488919325077517,0.28915404272201206,0.6574168518708576
ETH,C_agreement,0.1,12,0.6497847273741812,0.29139660025890174,0.6567657649594515
ETH,D_hybrid,0.05,15,0.6610473853411705,0.31792621919596487,0.6500748861700004
