feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
adx_1h,>=27.67(q0.3),23,0.391304347826087,-0.17434782608695648,-436.03999999999996,4,36.015044491331075,-0.1090000000000001,10,-149.35000000000002
adx_1h,<27.67(q0.3),10,0.5,-0.1090000000000001,-149.35000000000002,3,88.2129672957937,-0.17434782608695648,23,-436.03999999999996
adx_1h,>=28.24(q0.4),21,0.38095238095238093,-0.18666666666666665,-421.39,4,43.79078763141033,-0.09833333333333327,12,-164.00000000000003
adx_1h,<28.24(q0.4),12,0.5,-0.09833333333333327,-164.00000000000003,4,65.35439137134051,-0.18666666666666665,21,-421.39
adx_1h,>=29.78(q0.5),17,0.4117647058823529,-0.18647058823529428,-251.19,4,45.300370237668695,-0.12062499999999998,16,-334.2
adx_1h,<29.78(q0.5),16,0.4375,-0.12062499999999998,-334.2,4,44.981176096293545,-0.18647058823529428,17,-251.19
adx_1h,>=30.62(q0.6),14,0.35714285714285715,-0.21500000000000014,-222.50999999999996,4,51.13927463934205,-0.11000000000000004,19,-362.88
adx_1h,<30.62(q0.6),19,0.47368421052631576,-0.11000000000000004,-362.88,4,41.802592026807275,-0.21500000000000014,14,-222.50999999999996
adx_1h,>=31.48(q0.7),10,0.3,-0.25700000000000006,-243.37,3,46.75596827875251,-0.10999999999999999,23,-342.02
adx_1h,<31.48(q0.7),23,0.4782608695652174,-0.10999999999999999,-342.02,4,44.067532467532466,-0.25700000000000006,10,-243.37
avg_funding_rate,>=-2.535e-05(q0.2),55,0.38181818181818183,-0.2542727272727271,-1078.8600000000001,9,21.89046427578538,-0.13142857142857156,14,-109.86
avg_funding_rate,<-2.535e-05(q0.2),14,0.5714285714285714,-0.13142857142857156,-109.86,4,43.084877208099954,-0.2542727272727271,55,-1078.8600000000001
avg_funding_rate,>=-1.46e-06(q0.3),48,0.375,-0.25406249999999997,-927.79,9,23.960562751681252,-0.17285714285714293,21,-260.92999999999995
avg_funding_rate,<-1.46e-06(q0.3),21,0.5238095238095238,-0.17285714285714293,-260.92999999999995,6,40.51282051282051,-0.25406249999999997,48,-927.79
avg_funding_rate,>=8.56e-06(q0.4),41,0.34146341463414637,-0.27048780487804863,-857.58,8,25.163133057869903,-0.1691071428571429,28,-331.14
avg_funding_rate,<8.56e-06(q0.4),28,0.5357142857142857,-0.1691071428571429,-331.14,6,49.162294431462456,-0.27048780487804863,41,-857.58
avg_funding_rate,>=1.839e-05(q0.5),35,0.3142857142857143,-0.31685714285714284,-832.6,8,25.893355018587354,-0.13926470588235307,34,-356.12
avg_funding_rate,<1.839e-05(q0.5),34,0.5294117647058824,-0.13926470588235307,-356.12,8,51.64384079903148,-0.31685714285714284,35,-832.6
avg_funding_rate,>=3.194e-05(q0.6),28,0.35714285714285715,-0.325,-630.46,6,30.803449427625786,-0.16402439024390242,41,-558.26
avg_funding_rate,<3.194e-05(q0.6),41,0.4634146341463415,-0.16402439024390242,-558.26,8,40.10488585950583,-0.325,28,-630.46
avg_funding_rate,>=4.782e-05(q0.7),21,0.3333333333333333,-0.32261904761904764,-461.26,5,36.781858387894026,-0.18854166666666666,48,-727.46
avg_funding_rate,<4.782e-05(q0.7),48,0.4583333333333333,-0.18854166666666666,-727.46,9,32.121090900534156,-0.32261904761904764,21,-461.26
avg_funding_rate,>=6.269e-05(q0.8),14,0.2857142857142857,-0.3489285714285715,-359.15000000000003,4,47.239315049422245,-0.19890909090909087,55,-829.5699999999999
avg_funding_rate,<6.269e-05(q0.8),55,0.45454545454545453,-0.19890909090909087,-829.5699999999999,9,32.26721285646762,-0.3489285714285715,14,-359.15000000000003
bearish_rejection,==False,40,0.4,-0.28625,-861.16,6,35.72566195500696,-0.15086206896551724,29,-327.56
bearish_rejection,==False,29,0.4482758620689655,-0.15086206896551724,-327.56,5,46.487004372819726,-0.28625,40,-861.16
body_15m,>=0.4022(q0.5),11,0.36363636363636365,-0.28909090909090907,-309.12,3,36.81094720496894,-0.11636363636363634,11,-111.06
body_15m,<0.4022(q0.5),11,0.5454545454545454,-0.11636363636363634,-111.06,3,55.51804726045183,-0.28909090909090907,11,-309.12
bp_5m,>=0.08495(q0.5),11,0.45454545454545453,-0.18363636363636365,-216.32,4,39.011081972760344,-0.22181818181818175,11,-203.85999999999996
bp_5m,<0.08495(q0.5),11,0.45454545454545453,-0.22181818181818175,-203.85999999999996,4,37.71720913821999,-0.18363636363636365,11,-216.32
bullish_rejection,==False,40,0.4,-0.28625,-861.16,6,35.72566195500696,-0.15086206896551724,29,-327.56
bullish_rejection,==False,29,0.4482758620689655,-0.15086206896551724,-327.56,5,46.487004372819726,-0.28625,40,-861.16
chg_10m,>=-0.1896(q0.2),41,0.4878048780487805,-0.10939024390243901,-394.98,9,29.946693966886716,-0.4350000000000001,10,-352.76
chg_10m,<-0.1896(q0.2),10,0.3,-0.4350000000000001,-352.76,4,51.64738690353232,-0.10939024390243901,41,-394.98
chg_10m,>=-0.0886(q0.3),36,0.5277777777777778,-0.08458333333333323,-232.14000000000001,9,27.178008892908284,-0.38599999999999995,15,-515.5999999999999
chg_10m,<-0.0886(q0.3),15,0.26666666666666666,-0.38599999999999995,-515.5999999999999,5,41.32552897549625,-0.08458333333333323,36,-232.14000000000001
chg_10m,>=-0.0505(q0.4),31,0.5161290322580645,-0.07951612903225802,-174.84999999999994,9,25.78333065222442,-0.3185000000000001,20,-572.89
chg_10m,<-0.0505(q0.4),20,0.35,-0.3185000000000001,-572.89,6,39.6830107001344,-0.07951612903225802,31,-174.84999999999994
chg_10m,>=-0.0279(q0.5),26,0.5,-0.06673076923076926,-155.25000000000003,9,29.642708389924127,-0.2839999999999999,25,-592.49
chg_10m,<-0.0279(q0.5),25,0.4,-0.2839999999999999,-592.49,8,33.08361182824651,-0.06673076923076926,26,-155.25000000000003
