logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,asset,cmf_raw,cmf_score,p_up_v2,bp_5m,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,markov_regime_daily,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,spot_at_expiry,price_move_pct,miss_pct,stoch_k_4h,bp_1h,chg_1h,chg_2h,chg_3h,arima_forecast_1h,markov_regime_7state,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,loss_margin_pct,loss_category,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,p_up_v3,state3,week,yw,be,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon
2026-04-08 15:02:33,2026-04-08 15:00,KXBTCD-26APR0812-T71099.99,2026-04-08T16:00:00Z,70885.87,71099.99,0.3021,0.335,real,0.359115,0.3608,0.0011161,0.00121592,0.00093408,1.3017,0.01,0.00110319,1.0,1.0,2,1.0,0,-0.0762,2.0,0.0,0.5481,-1,7.5e-05,0,-1.0,1,2.0,2.0,-1.0644,False,False,1.0,1.0,8.1,8.44,False,0,neutral,0.0,0.0,0.117825,0.090924,trade,no,False,False,129.0,57.41,,0.351717,0.05,25.0,500.0,2.0,6.0,0.546,,,,,,True,False,-25.0,2026-04-08 15:02:33+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.665,8.814984975071975e-19,0.9999999991340474,8.659390030045681e-10,1.3067262196733265,-117.31366793489849,0.6069124278807024
2026-04-08 15:18:45,2026-04-08 15:00,KXBTCD-26APR0812-T71199.99,2026-04-08T16:00:00Z,71089.98,71199.99,0.1547,0.35,real,0.387964,0.2846,0.0011252,0.00099377,0.00062517,1.5896,0.02,0.00084633,1.0,0.0,1,1.0,0,0.0987,2.0,0.0,0.384,-1,7.6e-05,0,0.0,0,1.0,1.0,-0.7381,False,False,1.0,1.0,18.96,13.82,True,-1,neutral,0.0,0.0,0.114074,0.086455,trade,no,False,False,129.0,41.2,,0.325925,0.05,25.0,500.0,2.0,3.0,0.519,,,,,,True,False,-25.0,2026-04-08 15:18:45+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.65,8.814984975071975e-19,0.9999999991340474,8.659390030045681e-10,1.3067262196733265,-117.31366793489849,0.6069124278807024
2026-04-10 10:02:13,2026-04-10 10:00,KXBTCD-26APR1007-T71899.99,2026-04-10T11:00:00Z,71790.4,71899.99,0.1527,0.28,real,0.225201,0.7547,0.00037658,0.00021368,0.00034442,0.6204,0.02,0.00026598,1.0,-1.0,0,1.0,-1,-0.1207,2.0,0.0,0.4397,0,3.78e-06,0,0.0,0,1.0,1.0,-0.3002,False,False,0.0,0.0,58.42,59.51,False,0,neutral,0.0,0.0,0.07787,0.051581,trade,no,False,False,109.0,57.74,,0.278109,0.05,50.0,1000.0,-1.0,2.0,0.4684,,,,,,True,False,-50.0,2026-04-10 10:02:13+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.72,0.0010907058429276064,0.00014717173092456009,0.9987621224261475,0.8189343331162278,-60.819041579087525,0.44204171797248476
2026-04-10 10:28:42,2026-04-10 10:00,KXBTCD-26APR1007-T71799.99,2026-04-10T11:00:00Z,71724.7,71799.99,0.105,0.295,real,0.1337,1.1091,0.00024171,4.983e-05,0.00034828,0.1431,0.01,0.00016921,1.0,-1.0,0,0.0,0,0.033,2.0,0.0,0.5139,0,-1.54e-06,0,0.0,0,1.0,1.0,-0.3028,False,False,0.0,0.0,73.4,62.96,False,0,neutral,0.0,0.0,0.177655,0.155405,trade,no,False,False,108.0,31.25,,0.60222,0.05,50.0,1000.0,-1.0,2.0,0.4684,,,,,,True,False,-50.0,2026-04-10 10:28:42+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.7050000000000001,0.0010907058429276064,0.00014717173092456009,0.9987621224261475,0.8189343331162278,-60.819041579087525,0.44204171797248476
2026-04-12 05:00:59,2026-04-12 05:00,KXBTCD-26APR1202-T71599.99,2026-04-12T06:00:00Z,71485.03,71599.99,0.1608,0.26,real,0.172557,0.9441,0.00052165,0.00026923,0.00032527,0.8277,0.02,0.00022165,0.0,0.0,1,0.0,0,-0.0217,2.0,0.0,0.1037,0,-4.285e-05,0,0.0,0,1.0,1.0,-0.4105,False,False,1.0,1.0,25.03,15.99,True,-1,bearish,0.0,0.0,0.087443,0.062449,trade,no,False,False,91.0,58.97,,0.336321,0.05,50.0,1000.0,-3.0,7.0,0.4675,,,,,,True,False,-50.0,2026-04-12 05:00:59+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.74,4.643955357739159e-06,6.093475022250987e-05,0.9999344212944173,0.8895648702110266,-210.52283820315407,0.16355851646581443
2026-04-12 05:11:42,2026-04-12 05:00,KXBTCD-26APR1202-T71699.99,2026-04-12T06:00:00Z,71585.67,71699.99,0.1597,0.24,real,0.148816,1.0415,0.00028901,0.00026688,0.00032526,0.8205,0.04,0.00022058,0.0,1.0,2,0.0,1,0.1646,2.0,0.0,0.2719,0,-4.124e-05,0,0.0,0,0.0,0.0,-0.2682,False,False,0.0,1.0,41.36,21.44,True,-1,bearish,0.0,0.0,0.091184,0.067317,trade,no,False,False,90.0,48.25,,0.379934,0.05,50.0,1000.0,-3.0,5.0,0.3974,,,,,,True,False,-50.0,2026-04-12 05:11:42+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.76,4.643955357739159e-06,6.093475022250987e-05,0.9999344212944173,0.8895648702110266,-210.52283820315407,0.16355851646581443
2026-04-12 17:00:26,2026-04-12 17:00,KXBTCD-26APR1214-T71099.99,2026-04-12T18:00:00Z,70980.56,71099.99,0.1683,0.23,real,0.179615,0.9168,0.00033717,0.00032465,0.00029498,1.1006,0.04,0.00023771,0.0,0.0,1,1.0,-1,-0.1194,2.0,1.0,0.8143,0,8.88e-06,0,-1.0,1,2.0,2.0,-0.8766,False,False,0.0,0.0,73.74,64.98,False,0,bearish,0.0,0.0,0.050385,0.025071,trade,no,False,False,65.0,59.5,,0.219067,0.05,50.0,1000.0,-3.0,1.0,0.4771,,,,,,True,False,-50.0,2026-04-12 17:00:26+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.77,1.2616309056644335e-08,2.4107646052859198e-05,0.999975879737635,0.4694139521015605,-50.130658044390884,0.16933081106644718
2026-04-12 19:07:07,2026-04-12 19:00,KXBTCD-26APR1216-T71299.99,2026-04-12T20:00:00Z,71200.8,71299.99,0.1393,0.205,real,0.088651,1.3491,0.00023154,0.00015636,0.00023247,0.6726,0.01,0.00014197,0.0,0.0,1,1.0,1,0.1921,2.0,1.0,0.8194,0,-9.42e-06,0,0.0,0,0.0,0.0,-0.2808,False,False,-1.0,-1.0,95.15,89.75,False,0,bearish,0.0,0.0,0.116349,0.095693,trade,no,False,False,125.0,52.83,,0.567555,0.05,50.0,1000.0,-3.0,-4.0,0.225,,,,,,False,True,12.89,2026-04-12 19:07:07+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.795,3.022578978246825e-09,7.116305115812784e-06,0.9999928806723065,0.4215226959082979,-1.9031059296734156,0.19710307773263241
2026-04-12 19:12:28,2026-04-12 19:00,KXBTCD-26APR1217-T71499.99,2026-04-12T21:00:00Z,71238.27,71499.99,0.3674,0.22,real,0.058753,1.5653,0.00021877,0.00019017,0.00045807,0.4152,0.06,0.00022597,0.0,0.0,1,1.0,1,0.1852,2.0,1.0,0.8139,0,-1.094e-05,0,0.0,0,0.0,0.0,-0.2298,False,False,-1.0,-1.0,100.0,91.37,False,0,bearish,0.0,0.0,0.161247,0.142376,trade,no,False,False,125.0,107.48,,0.73294,0.05,50.0,1000.0,-3.0,-5.0,0.3855,,,,,,False,True,14.1,2026-04-12 19:12:28+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.78,3.022578978246825e-09,7.116305115812784e-06,0.9999928806723065,0.4215226959082979,-1.9031059296734156,0.19710307773263241
2026-04-12 19:38:10,2026-04-12 19:00,KXBTCD-26APR1217-T71249.99,2026-04-12T21:00:00Z,71141.33,71249.99,0.1527,0.295,real,0.115323,1.1987,0.00013321,9.995e-05,0.00031322,0.3191,0.05,0.0001408,0.0,-1.0,0,1.0,0,0.086,2.0,0.0,0.6942,0,-1.668e-05,0,0.0,0,0.0,0.0,-0.3037,False,False,0.0,-1.0,82.56,86.55,True,0,bearish,0.0,0.0,0.179677,0.157535,trade,no,False,False,123.0,81.77,,0.609074,0.05,50.0,1000.0,-3.0,-2.0,0.3023,,,,,,True,False,-50.0,2026-04-12 19:38:10+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,15,2026-W15,0.7050000000000001,3.022578978246825e-09,7.116305115812784e-06,0.9999928806723065,0.4215226959082979,-1.9031059296734156,0.19710307773263241
2026-04-13 00:00:47,2026-04-13 00:00,KXBTCD-26APR1221-T70799.99,2026-04-13T01:00:00Z,70670.88,70799.99,0.1827,0.34,real,0.225136,0.755,0.00046793,0.00038683,0.00057531,0.6724,0.02,0.00031431,-1.0,0.0,1,0.0,0,-0.0019,2.0,0.0,0.3988,0,3.823e-05,0,0.0,0,0.0,0.0,,False,False,0.0,1.0,17.3,17.86,True,-1,bearish,0.0,0.0,0.114864,0.087652,trade,no,False,False,78.0,59.16,,0.337835,0.05,50.0,1000.0,-3.0,5.0,0.3974,-0.0309,,,False,,True,False,-50.0,2026-04-13 00:00:47+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,16,2026-W16,0.6599999999999999,1.3584947982425101e-08,2.7297643700986885e-05,0.9999726887713524,0.6911000579540938,37.802489509776194,0.5066647052573872
2026-04-13 00:10:52,2026-04-13 00:00,KXBTCD-26APR1221-T70999.99,2026-04-13T01:00:00Z,70906.73,70999.99,0.1315,0.325,real,0.345847,0.3966,0.00043061,0.00051286,0.00041346,1.2404,0.01,0.0004731,-1.0,-1.0,0,0.0,0,-0.042,2.0,0.0,0.4862,0,4.784e-05,0,0.0,0,0.0,0.0,,False,False,-1.0,0.0,42.37,26.21,True,0,bearish,0.0,0.0,0.126035,0.099879,trade,no,False,False,86.0,49.08,,0.3878,0.05,50.0,1000.0,-3.0,0.0,0.3268,,,,,,True,False,-50.0,2026-04-13 00:10:52+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crashing,16,2026-W16,0.675,1.3584947982425101e-08,2.7297643700986885e-05,0.9999726887713524,0.6911000579540938,37.802489509776194,0.5066647052573872
