ts,contract_ticker,p_market,tau_minutes,offset_pct,resolved_yes,d15,dir15
2026-05-21 21:42:36+00:00,KXBTCD-26MAY2118-T77499.99,0.96,17.3,-0.00185,1.0,0.959,1.0
2026-05-21 21:42:36+00:00,KXBTCD-26MAY2118-T77599.99,0.78,17.3,-0.000562,0.0,0.959,1.0
2026-05-21 21:42:36+00:00,KXBTCD-26MAY2118-T77699.99,0.28,17.3,0.000726,0.0,0.959,1.0
2026-05-21 21:42:36+00:00,KXBTCD-26MAY2118-T77799.99,0.055,17.3,0.002014,0.0,0.959,1.0
2026-05-21 21:43:40+00:00,KXBTCD-26MAY2118-T77499.99,0.955,16.3,-0.001757,1.0,0.959,1.0
2026-05-21 21:43:40+00:00,KXBTCD-26MAY2118-T77599.99,0.74,16.3,-0.000469,0.0,0.959,1.0
2026-05-21 21:43:40+00:00,KXBTCD-26MAY2118-T77699.99,0.245,16.3,0.000819,0.0,0.959,1.0
2026-05-21 21:43:40+00:00,KXBTCD-26MAY2118-T77799.99,0.045,16.3,0.002107,0.0,0.959,1.0
2026-05-21 21:45:16+00:00,KXBTCD-26MAY2118-T77499.99,0.965,14.7,-0.001872,1.0,0.959,1.0
2026-05-21 21:45:16+00:00,KXBTCD-26MAY2118-T77599.99,0.735,14.7,-0.000584,0.0,0.959,1.0
2026-05-21 21:45:16+00:00,KXBTCD-26MAY2118-T77699.99,0.235,14.7,0.000704,0.0,0.959,1.0
2026-05-21 21:45:16+00:00,KXBTCD-26MAY2118-T77799.99,0.045,14.7,0.001992,0.0,0.959,1.0
2026-05-21 21:46:20+00:00,KXBTCD-26MAY2118-T77699.99,0.175,13.6,0.000837,0.0,0.959,1.0
2026-05-21 21:46:20+00:00,KXBTCD-26MAY2118-T77499.99,0.965,13.6,-0.001739,1.0,0.959,1.0
2026-05-21 21:46:20+00:00,KXBTCD-26MAY2118-T77599.99,0.705,13.6,-0.000451,0.0,0.959,1.0
2026-05-21 21:47:24+00:00,KXBTCD-26MAY2118-T77499.99,0.97,12.5,-0.001736,1.0,0.959,1.0
2026-05-21 21:47:24+00:00,KXBTCD-26MAY2118-T77599.99,0.715,12.5,-0.000448,0.0,0.959,1.0
2026-05-21 21:47:24+00:00,KXBTCD-26MAY2118-T77699.99,0.165,12.5,0.00084,0.0,0.959,1.0
2026-05-21 21:48:29+00:00,KXBTCD-26MAY2118-T77499.99,0.95,11.5,-0.001298,1.0,0.6837000000000002,1.0
2026-05-21 21:48:29+00:00,KXBTCD-26MAY2118-T77599.99,0.545,11.5,-9e-06,0.0,0.6837000000000002,1.0
2026-05-21 21:48:29+00:00,KXBTCD-26MAY2118-T77699.99,0.075,11.5,0.001279,0.0,0.6837000000000002,1.0
2026-05-21 21:49:33+00:00,KXBTCD-26MAY2118-T77699.99,0.055,10.4,0.001307,0.0,0.6837000000000002,1.0
2026-05-21 21:49:33+00:00,KXBTCD-26MAY2118-T77499.99,0.935,10.4,-0.00127,1.0,0.6837000000000002,1.0
2026-05-21 21:49:33+00:00,KXBTCD-26MAY2118-T77599.99,0.515,10.4,1.8e-05,0.0,0.6837000000000002,1.0
2026-05-21 21:51:12+00:00,KXBTCD-26MAY2118-T77699.99,0.105,8.8,0.001192,0.0,0.6837000000000002,1.0
2026-05-21 21:51:12+00:00,KXBTCD-26MAY2118-T77599.99,0.71,8.8,-9.6e-05,0.0,0.6837000000000002,1.0
2026-05-21 21:52:16+00:00,KXBTCD-26MAY2118-T77599.99,0.71,7.7,-0.000351,0.0,0.6837000000000002,1.0
2026-05-21 21:52:16+00:00,KXBTCD-26MAY2118-T77699.99,0.075,7.7,0.000937,0.0,0.6837000000000002,1.0
2026-05-21 21:53:20+00:00,KXBTCD-26MAY2118-T77599.99,0.845,6.6,-0.000507,0.0,0.8183,1.0
2026-05-21 21:53:20+00:00,KXBTCD-26MAY2118-T77699.99,0.105,6.6,0.000781,0.0,0.8183,1.0
2026-05-21 21:54:25+00:00,KXBTCD-26MAY2118-T77599.99,0.895,5.5,-0.000563,0.0,0.8183,1.0
2026-05-21 21:54:25+00:00,KXBTCD-26MAY2118-T77699.99,0.1,5.5,0.000725,0.0,0.8183,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77899.99,0.05,59.6,0.003803,0.0,0.9817,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77699.99,0.225,59.6,0.001225,0.0,0.9817,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77599.99,0.475,59.6,-6.3e-05,0.0,0.9817,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77799.99,0.09,59.6,0.002514,0.0,0.9817,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77399.99,0.895,59.6,-0.00264,1.0,0.9817,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77299.99,0.95,59.6,-0.003929,1.0,0.9817,1.0
2026-05-21 22:00:19+00:00,KXBTCD-26MAY2119-T77499.99,0.74,59.6,-0.001352,1.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77199.99,0.96,58.6,-0.004502,1.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77299.99,0.915,58.6,-0.003212,1.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77399.99,0.815,58.6,-0.001923,1.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77499.99,0.625,58.6,-0.000633,1.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77599.99,0.395,58.6,0.000657,0.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77699.99,0.185,58.6,0.001946,0.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77799.99,0.08,58.6,0.003236,0.0,0.9817,1.0
2026-05-21 22:01:23+00:00,KXBTCD-26MAY2119-T77899.99,0.04,58.6,0.004525,0.0,0.9817,1.0
2026-05-21 22:03:05+00:00,KXBTCD-26MAY2119-T77699.99,0.27,56.9,0.001127,0.0,0.030599999999999905,1.0
2026-05-21 22:03:05+00:00,KXBTCD-26MAY2119-T77899.99,0.045,56.9,0.003704,0.0,0.030599999999999905,1.0
2026-05-21 22:03:05+00:00,KXBTCD-26MAY2119-T77599.99,0.505,56.9,-0.000162,0.0,0.030599999999999905,1.0
2026-05-21 22:03:05+00:00,KXBTCD-26MAY2119-T77799.99,0.125,56.9,0.002415,0.0,0.030599999999999905,1.0
2026-05-21 22:03:05+00:00,KXBTCD-26MAY2119-T77399.99,0.88,56.9,-0.002738,1.0,0.030599999999999905,1.0
