config,n_weeks,d_auc_weekly_mean,d_ic_weekly_mean,p_boot_auc,p_boot_ic,pct_weeks_improved,d_ic_2021,d_ic_2022,d_ic_2023,d_ic_2024,d_ic_2025,d_ic_2026
ABCs,288,0.0035746094911839423,0.006162449343130369,0.00075,0.0005,0.5763888888888888,0.0014385347351080701,0.003297768513383068,0.004142673279126223,0.010910871117952954,0.013107878379071024,0.0018887325615231751
ABC,288,0.004100836160245963,0.007078225819698485,0.00125,0.00125,0.5868055555555556,0.0007307987153362237,-0.0012759901729140315,0.007233164235399455,0.007945349134581864,0.022581239882936723,0.0029922438086123935
ABFt,288,-0.00021826435947612792,-0.0003715114052675415,0.60025,0.602,0.4930555555555556,0.001372123455013443,-0.002235884019923482,-0.003234756038435715,0.00535866309770724,-0.0011163861032603285,-0.0041983125537426585
ABFcg,26,-0.007708060608490243,-0.0133528302275132,0.87,0.86875,0.46153846153846156,,,,,,-0.0133528302275132
A,288,-0.0017807842164561135,-0.0030732080662395113,0.89175,0.89525,0.4826388888888889,-0.000743250178515041,-0.0038809732279828295,-0.014842145881509082,0.0002321447709141211,0.001406688390331881,0.0015015284120095587
ABM,288,0.008315394410466113,0.014356998119438488,0.0,0.0,0.6423611111111112,0.014139714764477547,0.002670726779499998,0.008244263451176466,0.02138444082755507,0.03025994318218502,0.004303810628207598
ABCa,288,-0.0001818666549642405,-0.0003071338684819782,0.56625,0.56375,0.4965277777777778,-0.003071730563267479,-0.004007654621541819,-0.0024539512147142744,0.0058594114260517895,0.003333774469366687,-0.0027444630510633813
ABR,288,-0.0016153049149353123,-0.002779191834703918,0.94925,0.94725,0.4479166666666667,-0.0006637437421824987,-0.008610893661815163,-0.005791082045990272,0.0013345353006443202,-0.000521650715628778,-0.002175488322242042
