zone_lo,zone_hi,n,n_no,wr,pnl,pnl_per_bet
1.0,0.0,968,548,0.31921487603305787,-5883.844440823421,-6.078351695065518
0.5,0.5,677,316,0.3293943870014771,-6231.120003159422,-9.20401772992529
0.48,0.52,474,177,0.3291139240506329,-6980.85620255215,-14.727544731122679
0.46,0.54,275,60,0.36363636363636365,-2765.351995656418,-10.05582543875061
0.45,0.55,174,36,0.3505747126436782,-3550.3309517118687,-20.404200871907292
0.44,0.56,75,25,0.4,-867.255766301775,-11.563410217357
0.43,0.57,38,14,0.4473684210526316,-223.71081330616863,-5.887126665951806
0.42,0.58,20,9,0.5,328.346923463396,16.4173461731698
