config,n,n_weeks,auc_overall,auc_weekly_mean,pct_weeks_gt_05,ic_weekly_mean,ic_tstat,auc_2021,ic_2021,auc_2022,ic_2022,auc_2023,ic_2023,auc_2024,ic_2024,auc_2025,ic_2025,auc_2026,ic_2026
ABCs,48119,288,0.5485905281456164,0.5558363173263979,0.9201388888888888,0.09643590550029521,24.40024203196272,0.541051906547922,0.08293882012927736,0.5590214458953138,0.11566667626556353,0.558883689944353,0.11366287408556332,0.5463429004620117,0.08702158685473743,0.5473853151820451,0.08600492269518577,0.5398327737266708,0.09082229999306696
ABC,48119,288,0.5492724117156089,0.55636254399546,0.9097222222222222,0.09735168197686332,24.085731249380178,0.5432448398875072,0.08223108410950553,0.5570219589358053,0.11109291757926641,0.5600411212999974,0.11675336504183655,0.5434154255032109,0.08405606487136635,0.5512181217457038,0.09547828419905148,0.5407791972943384,0.0919258112401562
ABFt,48119,288,0.5454462841678782,0.5520434434757379,0.9236111111111112,0.08990194475189729,22.687957574451094,0.5418838505329207,0.08287240884918276,0.5569937318045123,0.11013302373225695,0.5540371241215352,0.10628544476800138,0.5410085179512086,0.08146937883449173,0.5383419593225198,0.07178065821285441,0.5374043496181315,0.08473525487780115
ABFcg,4168,26,0.5295445858259304,0.5425807749929615,0.7692307692307693,0.073387834842515,4.183952456051384,,,,,,,,,,,0.5295445858259304,0.073387834842515
A,48119,288,0.5431031072121771,0.550480923618758,0.90625,0.08720024809092533,21.919762336479362,0.5399696999335228,0.08075703521565426,0.5543064202883796,0.10848793452419761,0.5490591216657523,0.094678054924928,0.5375442864970548,0.07634286050769862,0.5383912519305838,0.07430373270644662,0.5396315759892086,0.09043509584355336
AB,48119,288,0.545125225153479,0.5522617078352141,0.9166666666666666,0.09027345615716484,22.15895086552188,0.5408876607874955,0.0815002853941693,0.5569844009522473,0.11236890775218046,0.5560963502886851,0.1095202008064371,0.5393280438599768,0.07611071573678449,0.5387879648878144,0.07289704431611474,0.5389505990316442,0.08893356743154382
ABM,48119,288,0.5543261074809483,0.5605771022456802,0.9270833333333334,0.10463045427660332,25.77311625644985,0.5509421814640656,0.09564000015864688,0.5588986591773806,0.11503963453168042,0.5624654753507328,0.11776446425761357,0.5535651797611487,0.09749515656433957,0.5557745469237737,0.10315698749829978,0.5440592498827025,0.09323737805975141
ABCa,48119,288,0.5457634072316868,0.5520798411802498,0.90625,0.08996632228868287,22.229809840094457,0.5433870107599235,0.07842855483090183,0.5548023629054105,0.10836125313063863,0.5556304830577109,0.10706624959172281,0.5402943041390103,0.08197012716283628,0.5415324761650299,0.07623081878548145,0.5378482879457304,0.08618910438048043
ABR,48119,288,0.5443807845039961,0.5506464029202788,0.9131944444444444,0.08749426432246092,22.356499035807182,0.5429703002523144,0.08083654165198681,0.5527140764663865,0.10375801409036528,0.552688246205293,0.10372911876044683,0.5411044331120825,0.07744525103742882,0.5392801610937693,0.07237539360048598,0.5382696220740799,0.08675807910930176
