logged_at,contract_ticker,p_market,offset_pct,bf_ret_24h_simple_pct,bf_hurst_exponent,bf_autocorr1_30,bf_kalman_residual,bf_ou_z_score,trend_persist_count_4flag,final_decision,would_win_bool,would_pnl
2026-04-16 18:02:28+00:00,KXSOLD-26APR1615-T86.9999,0.395,0.2563,2.173142789653948,0.7395911970569504,-0.3383207707787736,0.004195338819500634,3.0189,3,STAY_BLOCKED,False,-50.0
2026-04-16 18:55:31+00:00,KXSOLD-26APR1615-T88.9999,0.295,0.2844,2.173142789653948,0.7395911970569504,-0.3383207707787736,0.004195338819500634,7.1102,3,STAY_BLOCKED,False,-50.0
2026-04-16 19:08:00+00:00,KXSOLD-26APR1616-T88.9999,0.385,0.2562,4.668391345249301,0.7275558692697599,-0.17764939649171765,0.00748482156556279,-1903.9132,2,STAY_BLOCKED,False,-50.0
2026-04-17 04:03:33+00:00,KXSOLD-26APR1701-T87.9999,0.345,0.2077,2.8370457209847544,0.6447069055303973,0.027355235699657678,0.001373736344582043,-0.6015,3,STAY_BLOCKED,False,-50.0
2026-04-17 05:06:29+00:00,KXSOLD-26APR1702-T87.9999,0.355,0.2106,3.2258064516129004,0.7840140600895854,0.0387009147127322,0.002060909345799785,-0.7573,3,STAY_BLOCKED,True,27.52
2026-04-17 09:06:29+00:00,KXSOLD-26APR1706-T88.9999,0.37,0.2675,4.451491660793994,0.5461812894515781,0.020298228115542938,0.002437015446675704,-0.3232,2,STAY_BLOCKED,True,29.37
2026-04-17 11:03:43+00:00,KXSOLD-26APR1708-T87.9999,0.345,0.2477,3.0595434219816253,0.6732787890275812,0.03513194132235022,-0.0038669509020608714,-0.3494,2,STAY_BLOCKED,False,-50.0
2026-04-17 13:03:12+00:00,KXSOLD-26APR1710-T88.9999,0.375,0.2872,3.94798500468605,0.6657962374251218,0.016909922100210792,0.0009067803253923999,0.1391,4,STAY_BLOCKED,False,-50.0
2026-04-17 14:12:43+00:00,KXSOLD-26APR1711-T89.9999,0.385,0.2254,6.205025362746253,0.5354388129483575,0.04180635852502989,0.00303188872117373,0.7048,3,STAY_BLOCKED,False,-50.0
2026-04-21 06:01:59+00:00,KXSOLD-26APR2103-T85.9999,0.205,0.3441,2.109151572926593,0.6167931126871722,-0.12825953324056297,0.0003477303732922288,0.4651,3,STAY_BLOCKED,True,12.89
2026-04-22 03:10:44+00:00,KXSOLD-26APR2200-T87.9999,0.33,0.3162,2.520515826494729,0.8049753352727392,-0.2382520324047085,0.0036287931229962295,2.9398,3,STAY_BLOCKED,True,11.04
2026-04-22 07:02:42+00:00,KXSOLD-26APR2204-T87.9999,0.385,0.2134,2.4492652204338716,0.7074341258982199,-0.3002828774082661,-0.003356904367994582,0.3843,2,STAY_BLOCKED,False,-50.0
2026-04-22 19:00:17+00:00,KXSOLD-26APR2217-T87.9999,0.36,0.2591,3.696315418915752,0.46600142858298027,-0.32608676871994613,0.001311113394765597,-0.9838,1,RESCUE_allow_NO,True,28.12
2026-04-22 22:01:03+00:00,KXSOLD-26APR2219-T87.9999,0.2,0.3448,2.9138761602631957,0.6709219008919566,-0.2910470344863514,0.002874286690855615,-0.3688,2,STAY_BLOCKED,True,12.5
2026-04-27 04:00:16+00:00,KXSOLD-26APR2701-T87.9999,0.275,0.2905,2.222739439078314,0.37704109130181157,-0.13346454334872868,-0.0007026029227130345,-10.0824,0,RESCUE_allow_NO,True,18.97
2026-05-06 12:13:02+00:00,KXSOLD-26MAY0609-T89.9999,0.22,0.3315,5.823411528940237,0.629041763505301,-0.058663050672223827,0.001083599406319199,-1515.3016,2,STAY_BLOCKED,True,8.46
2026-05-06 13:07:43+00:00,KXSOLD-26MAY0610-T88.9999,0.57,0.2703,5.06269776163133,0.5992065029859655,-0.04249612812244929,-0.0007514943770442581,-1284.7538,0,RESCUE_allow_NO,True,39.77
2026-05-09 06:01:32+00:00,KXSOLD-26MAY0903-T93.9999,0.2,0.2532,6.155764652533735,0.6390271609371921,0.07538536051787446,0.002645892564225127,-1056.0706,3,STAY_BLOCKED,True,7.5
2026-05-11 00:50:38+00:00,KXSOLD-26MAY1021-T95.9999,0.31,0.2322,3.4675254965109925,0.6048364267738776,0.05424575665242166,-0.002784418396070994,-0.8445,2,STAY_BLOCKED,True,22.46
2026-05-11 08:39:57+00:00,KXSOLD-26MAY1105-T94.9999,0.22,0.2585,2.0327377768267985,0.5320948220909296,-0.0008076303670294364,-0.0009179477574941925,-0.5853,0,RESCUE_allow_NO,True,14.1
2026-05-15 04:20:56+00:00,KXSOLD-26MAY1501-T91.9999,0.22,0.2096,2.2333333333333316,0.8423843163878527,0.09974793049544103,-0.0028917840154572133,-0.561,2,STAY_BLOCKED,True,14.1
2026-05-21 09:29:38+00:00,KXSOLD-26MAY2106-T86.9999,0.13,0.2159,2.2596210427209718,0.4008800676675609,-0.28346481672473284,-0.0007689731883811462,0.4,1,RESCUE_allow_NO,True,7.47
2026-06-07 09:17:22+00:00,KXSOLD-26JUN0706-T65.9999,0.54,0.2771,4.025892011367227,0.5313633683866497,-0.2746011696682386,0.0062851092500965135,-900.9991,1,RESCUE_allow_NO,True,27.95
2026-06-07 10:36:53+00:00,KXSOLD-26JUN0707-T64.9999,0.28,0.2273,3.7202618553408673,0.5830360805979119,-0.283561239723565,-0.012069770405719518,-23.0132,0,RESCUE_allow_NO,True,15.98
2026-06-07 11:28:47+00:00,KXSOLD-26JUN0708-T64.9999,0.21,0.3124,4.773462783171523,0.5813978384281298,-0.28368591052893366,0.0007718689013413663,-2.6904,1,RESCUE_allow_NO,False,-50.0
2026-06-08 21:39:44+00:00,KXSOLD-26JUN0818-T67.9999,0.2,0.3429,4.123552123552132,0.5552354987004107,-0.19765504127491876,0.0007537931622844011,1.1001,2,STAY_BLOCKED,True,12.21
2026-06-30 05:13:02+00:00,KXSOLD-26JUN3002-T73.9999,0.33,0.203,3.2784598214285587,0.7887418862460348,-0.08516123750884477,0.00011425159457182591,-0.8119,2,STAY_BLOCKED,False,-100.0
2026-06-30 06:20:22+00:00,KXSOLD-26JUN3003-T73.9999,0.26,0.2675,2.698588430667015,0.7828712837802647,-0.09893305748907379,0.0018994694326127022,-0.9644,2,STAY_BLOCKED,False,-100.0
2026-06-30 08:14:49+00:00,KXSOLD-26JUN3005-T73.9999,0.28,0.2607,2.091071674233036,0.865822063515907,-0.11553655821771595,-9.127558872855303e-05,-0.9601,1,RESCUE_allow_NO,True,38.89
2026-07-02 09:29:16+00:00,KXSOLD-26JUL0206-T78.9999,0.22,0.3014,3.9491121123774287,0.5577104220169188,0.13508237218718386,0.0020164962980779673,0.1745,3,STAY_BLOCKED,False,-58.68
2026-07-03 07:10:29+00:00,KXSOLD-26JUL0304-T80.9999,0.28,0.2288,4.0246881831040415,0.6613069530412109,0.2198838420648961,-0.002861954685368379,-0.1919,2,STAY_BLOCKED,False,-125.0
2026-07-04 04:15:34+00:00,KXSOLD-26JUL0401-T82.9999,0.24,0.2838,2.4662287768001168,0.5240996949958725,0.1348157170102979,0.0016857334575479882,0.3653,3,STAY_BLOCKED,False,-125.0
