feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
offset_pct,>=-0.3353(q0.1),325,0.6523076923076923,-0.031369230769230816,871.6400000000001,13,22.895173086299362,-0.07108108108108102,-203.04000000000005
offset_pct,<-0.3353(q0.1),37,0.7027027027027027,-0.07108108108108102,-203.04000000000005,8,41.34599179821358,-0.031369230769230816,871.6400000000001
offset_pct,>=-0.1361(q0.2),289,0.6539792387543253,-0.03371972318339089,920.5899999999999,13,22.87618569374292,-0.04219178082191766,-251.98999999999998
offset_pct,<-0.1361(q0.2),73,0.6712328767123288,-0.04219178082191766,-251.98999999999998,11,31.600026262228347,-0.03371972318339089,920.5899999999999
offset_pct,>=0.1298(q0.3),254,0.6850393700787402,-0.026043307086614065,1120.0099999999998,13,29.68357200289049,-0.05750000000000011,-451.40999999999997
offset_pct,<0.1298(q0.3),108,0.5925925925925926,-0.05750000000000011,-451.40999999999997,12,36.88639713990551,-0.026043307086614065,1120.0099999999998
offset_pct,>=0.2252(q0.4),217,0.7142857142857143,-0.0074654377880184475,936.3599999999999,13,37.47761315532399,-0.07727586206896542,-267.7599999999998
offset_pct,<0.2252(q0.4),145,0.5724137931034483,-0.07727586206896542,-267.7599999999998,12,31.01053601792554,-0.0074654377880184475,936.3599999999999
offset_pct,>=0.2535(q0.5),181,0.7348066298342542,0.0055248618784530246,1358.4099999999999,13,43.4224508371965,-0.0763812154696133,-689.81
offset_pct,<0.2535(q0.5),181,0.580110497237569,-0.0763812154696133,-689.81,12,27.860273434944734,0.0055248618784530246,1358.4099999999999
offset_pct,>=0.3135(q0.6),145,0.7931034482758621,0.05134482758620684,1492.28,13,43.17031467070812,-0.09341013824884781,-823.6800000000001
offset_pct,<0.3135(q0.6),217,0.5668202764976958,-0.09341013824884781,-823.6800000000001,13,22.687371940040975,0.05134482758620684,1492.28
offset_pct,>=0.3813(q0.7),109,0.8165137614678899,0.07238532110091733,1532.8399999999995,12,47.179637088042966,-0.08187747035573112,-864.2399999999998
offset_pct,<0.3813(q0.7),253,0.5889328063241107,-0.08187747035573112,-864.2399999999998,13,22.28427517748782,0.07238532110091733,1532.8399999999995
offset_pct,>=0.4985(q0.8),73,0.863013698630137,0.12561643835616443,1660.17,11,53.81300550691509,-0.07610726643598609,-991.5700000000002
offset_pct,<0.4985(q0.8),289,0.6055363321799307,-0.07610726643598609,-991.5700000000002,13,20.399914633774536,0.12561643835616443,1660.17
offset_pct,>=0.6677(q0.9),37,0.918918918918919,0.22608108108108105,1529.2799999999997,6,66.9842929448946,-0.06520000000000004,-860.68
offset_pct,<0.6677(q0.9),325,0.6276923076923077,-0.06520000000000004,-860.68,13,24.52214512342972,0.22608108108108105,1529.2799999999997
p_market,>=0.16(q0.1),326,0.6533742331288344,-0.030383435582822083,883.8300000000002,13,20.89790944746963,-0.08111111111111113,-215.23000000000005
p_market,<0.16(q0.1),36,0.6944444444444444,-0.08111111111111113,-215.23000000000005,10,20.317338696804264,-0.030383435582822083,883.8300000000002
p_market,>=0.2(q0.2),298,0.6308724832214765,-0.03921140939597312,803.9599999999998,13,19.903188451662555,-0.01781250000000001,-135.36
p_market,<0.2(q0.2),64,0.78125,-0.01781250000000001,-135.36,12,19.84675561270964,-0.03921140939597312,803.9599999999998
p_market,>=0.22(q0.3),257,0.6186770428015564,-0.035875486381322985,989.0899999999997,13,23.065578110096606,-0.03433333333333333,-320.4899999999999
p_market,<0.22(q0.3),105,0.7523809523809524,-0.03433333333333333,-320.4899999999999,13,26.396850519371707,-0.035875486381322985,989.0899999999997
