align,feature,n,ic_vs_resid,p_resid,ic_vs_y,p_y,n_weeks,pct_weeks_pos
point_in_time,cg_futures_delta,680,-0.011129390509733496,0.772050326277265,-0.0011239265985339196,0.976661608890794,7,0.5714285714285714
point_in_time,cg_futures_ratio,680,0.00963813058337107,0.8019106566342349,0.01663411365830201,0.6650172861225605,7,0.5714285714285714
point_in_time,cg_futures_cvd_12h,680,0.025171014085050642,0.5122900929826057,0.04107577075441964,0.28479676123798586,7,0.7142857142857143
containing(leaky),cg_futures_delta,680,0.22361832027758843,3.739169317829387e-09,0.26921788456882484,9.35637256979506e-13,7,0.8571428571428571
containing(leaky),cg_futures_ratio,680,0.2411287046821451,1.8837328481004373e-10,0.2867960965698954,2.426522149702322e-14,7,0.8571428571428571
containing(leaky),cg_futures_cvd_12h,680,0.12383059709739179,0.0012137575927282916,0.1601970045110347,2.70623110293761e-05,7,0.7142857142857143
