config,n_oos,auc_oos,n_bets,unit_pnl_mean,unit_pnl_total
raw_pm_benchmark,679,0.5758171466263952,0,,
pm_only,443,0.555299068475241,362,0.027762430939226517,10.049999999999999
C_only,443,0.551244075829384,406,0.04440886699507388,18.029999999999998
A_score,443,0.4623100179767936,359,-0.02983286908077995,-10.710000000000003
A+D,443,0.5181606471645693,366,-0.00774590163934427,-2.8350000000000026
C+D,443,0.5800580160156887,397,0.05351385390428212,21.245
A+C,443,0.5502328811897368,384,0.04635416666666666,17.799999999999997
A+C+D,443,0.5689042327177644,400,0.0453375,18.135
