config,week,n,auc,rank_ic
A,2024-06-27/2024-07-03,24,0.5714285714285714,0.11258915976422681
A,2024-07-04/2024-07-10,168,0.4665765893898449,-0.057802113682449835
A,2024-07-11/2024-07-17,168,0.4818312905551551,-0.03157940025354909
A,2024-07-18/2024-07-24,168,0.5867469879518071,0.1511148968866127
A,2024-07-25/2024-07-31,168,0.5444160635731516,0.07688408637045432
A,2024-08-01/2024-08-07,168,0.5296243798724309,0.05130888567617694
A,2024-08-08/2024-08-14,168,0.505459444129325,0.009454095691915437
A,2024-08-15/2024-08-21,168,0.4575627240143369,-0.07308835930106095
A,2024-08-22/2024-08-28,168,0.5151988636363637,0.026302396808010636
A,2024-08-29/2024-09-04,168,0.5545003543586109,0.09440096696861275
A,2024-09-05/2024-09-11,168,0.5159856630824372,0.027761193751263367
A,2024-09-12/2024-09-18,168,0.5486888731396173,0.08432834704849973
A,2024-09-19/2024-09-25,168,0.5683815192743764,0.11850656508019308
A,2024-09-26/2024-10-02,168,0.5308404558404559,0.053833879848470684
A,2024-10-03/2024-10-09,168,0.5079545454545454,0.01403596477907207
A,2024-10-10/2024-10-16,168,0.4394048303622772,-0.10510092717864854
A,2024-10-17/2024-10-23,168,0.5260653409090909,0.04564471913988525
A,2024-10-24/2024-10-30,168,0.570367700072098,0.12083577085046303
A,2024-10-31/2024-11-06,168,0.534900284900285,0.06031504403284164
A,2024-11-07/2024-11-13,168,0.45169082125603865,-0.08246026935852245
A,2024-11-14/2024-11-20,168,0.54625,0.08096513183384914
A,2024-11-21/2024-11-27,168,0.49423979519271793,-0.009959560653272302
A,2024-11-28/2024-12-04,168,0.5616555255297966,0.10683569018226416
A,2024-12-05/2024-12-11,168,0.5223609699433716,0.03826443138705805
A,2024-12-12/2024-12-18,168,0.5356179934723996,0.061654026567933964
A,2024-12-19/2024-12-25,168,0.5737902653611467,0.1277302656069918
A,2024-12-26/2025-01-01,168,0.5350142045454546,0.060578846998114486
A,2025-01-02/2025-01-08,168,0.4822443181818182,-0.030719418702287216
A,2025-01-09/2025-01-15,168,0.5316826031111745,0.05468614690390267
A,2025-01-16/2025-01-22,168,0.533895881006865,0.058457914013384356
A,2025-01-23/2025-01-29,168,0.5240255138199859,0.04161222571268982
A,2025-01-30/2025-02-05,168,0.5201099537037037,0.034475493306147124
A,2025-02-06/2025-02-12,168,0.5434504337932016,0.07513119218195895
A,2025-02-13/2025-02-19,168,0.5367271695972774,0.06370222584365226
A,2025-02-20/2025-02-26,168,0.4970233876683203,-0.00515551656382185
A,2025-02-27/2025-03-05,168,0.5454545454545454,0.07864235873892728
A,2025-03-06/2025-03-12,168,0.5240056818181817,0.04153354758015617
A,2025-03-13/2025-03-19,168,0.49290981281905843,-0.01228090651346623
A,2025-03-20/2025-03-26,168,0.5299388422699474,0.05188076922398901
A,2025-03-27/2025-04-02,168,0.5285508291276135,0.049406884612469455
A,2025-04-03/2025-04-09,168,0.5614996395097333,0.10563931428254583
A,2025-04-10/2025-04-16,168,0.5207379862700229,0.03584398469563936
