config,n,n_weeks,auc_overall,auc_weekly_mean,auc_weekly_med,pct_weeks_auc_gt_05,rank_ic_weekly_mean,ic_tstat,auc_2024,auc_2025,auc_2026
A,17483,106,0.5248283290697872,0.5327033201395244,0.5357614120209871,0.8113207547169812,0.05654799126088735,9.03896122837474,0.5117634036302591,0.5273515558674134,0.5285423739800507
B,17483,106,0.5260268019413982,0.5283987125956037,0.5271562124240519,0.7735849056603774,0.04898518323922657,7.231466181643676,0.530006505088658,0.5259201187656017,0.5237397589540395
E,17483,106,0.5031027762881877,0.5000518351015226,0.5011777090386147,0.5188679245283019,0.00038287339659925977,0.0471759047108631,0.5031965166299444,0.5034046829038908,0.4914201990522961
A+B,17483,106,0.5346642262984201,0.5431203072522588,0.5400155000010805,0.8679245283018868,0.0745200119130265,10.235138691591352,0.5300719756583779,0.5398336684848297,0.5293774894262687
A+E,17483,106,0.5286235662393731,0.5325795140092874,0.5311471907013079,0.7452830188679245,0.05649191850640883,7.260159955161402,0.5222964012170811,0.5307297905013363,0.5307125937570056
A+B+E,17483,106,0.5340442482333067,0.5371929092823484,0.5379528464634847,0.8301886792452831,0.06446215476796464,8.44361609041451,0.5323289266603715,0.5342164709214535,0.5348845350830556
