config,n_oos,auc_oos,n_bets,unit_pnl_mean,unit_pnl_net_fee,unit_pnl_total
raw_pm_benchmark,679,0.5758171466263952,0,,,
pm_only,443,0.555299068475241,362,0.027762430939226517,0.010511714088397791,10.049999999999999
Cpit_only,443,0.5160259029253147,403,-0.016079404466501242,-0.03333938089330024,-6.480000000000001
A+D,443,0.5181606471645693,366,-0.00774590163934427,-0.024988273907103824,-2.8350000000000026
Cpit+D,443,0.5416734760581794,398,-0.005100502512562817,-0.022363812814070346,-2.030000000000001
A+Cpit+D,443,0.5375776270632456,400,0.0081625,-0.009098699374999995,3.265
