feature,split,n,episodes,edge,ep_edge,P_pos,wk_neg_frac,n_weeks,streak_hits,pnl
lower_wick_15m,>= 0.5652,118,93,-0.031864406779661014,-0.031535958781362006,0.262,0.625,8,0,-132.7100000000001
atr_ratio_15m,>= 0.002975,808,308,-0.005352722772277228,-0.0007560043405217931,0.489,0.375,8,4,-262.65000000000015
atr_ratio_15m,>= 0.004844,347,144,-0.010806916426512974,-0.0007279850498841511,0.49233333333333335,0.5,8,0,-655.75
atr_ratio_15m,>= 0.005826,231,101,-0.014264069264069259,0.0033621195911257788,0.534,0.5714285714285714,7,0,-550.5300000000001
range_ratio_15m,< 0.3153,115,89,-0.015756521739130447,-0.01393397565543072,0.37966666666666665,0.5,8,1,-321.0300000000001
range_ratio_15m,>= 1.327,231,161,-0.01982683982683983,-0.017980929089026914,0.30266666666666664,0.625,8,0,-60.379999999999924
range_ratio_15m,>= 1.79,116,94,-0.081551724137931,-0.07628491430260048,0.050666666666666665,0.625,8,0,-495.01
consec_dir_15m,< -3,48,40,-0.11885416666666666,-0.12317981249999999,0.059,0.625,8,0,-285.21000000000004
consec_dir_15m,< -2,117,97,-0.05974358974358974,-0.08201920389461627,0.039,0.5,8,0,-310.58000000000004
consec_dir_15m,< -1,267,194,-0.020149812734082395,-0.03116345733104238,0.153,0.5,8,2,-283.1500000000001
consec_dir_15m,< -1,267,194,-0.020149812734082395,-0.03193015879152348,0.149,0.5,8,2,-283.1500000000001
stoch_k_5m,< 16.67,309,198,-0.026294498381877016,-0.03380676108305275,0.13166666666666665,0.4444444444444444,9,0,240.4300000000001
stoch_k_5m,< 27.25,467,264,-0.008040685224839396,-0.03319693016474267,0.09,0.4444444444444444,9,0,655.9499999999996
stoch_k_5m,< 38.36,623,319,-0.016228731942215083,-0.04463882923902406,0.019333333333333334,0.5555555555555556,9,0,220.14999999999975
stoch_k_5m,< 52.08,778,354,-0.008223007712082259,-0.028342303126774878,0.07966666666666666,0.3333333333333333,9,0,135.03999999999985
stoch_k_15m,< 10.93,156,106,-0.11041666666666668,-0.11647754716981133,0.0033333333333333335,0.6666666666666666,9,0,-395.0400000000001
stoch_k_15m,< 20.69,312,168,-0.0864423076923077,-0.09454624255093451,0.001,0.7777777777777778,9,0,-998.55
stoch_k_15m,< 30.18,467,217,-0.04190578158458244,-0.051008336361964134,0.024666666666666667,0.7777777777777778,9,1,-447.98000000000025
stoch_k_15m,< 40.81,623,266,-0.026809791332263244,-0.05007362044335279,0.019666666666666666,0.5555555555555556,9,1,-438.88
stoch_k_15m,< 51.75,777,311,-0.00914736164736165,-0.039175966193522135,0.027,0.4444444444444444,9,1,-141.34000000000026
chg_1m,< -0.07712,156,124,-0.03676282051282051,-0.00652139112903226,0.43233333333333335,0.4444444444444444,9,0,-230.18
chg_1m,< -0.01386,312,211,-0.02974519230769231,-0.022229053185887304,0.22233333333333333,0.4444444444444444,9,0,-599.2500000000001
chg_1m,< 0,337,226,-0.018755192878338278,-0.019400698869223205,0.239,0.5555555555555556,9,0,-283.1800000000001
chg_1m,< 0,337,226,-0.018755192878338278,-0.019539084193706983,0.23966666666666667,0.5555555555555556,9,0,-283.1800000000001
chg_1m,< 0,337,226,-0.018755192878338278,-0.01903864675516224,0.24033333333333334,0.5555555555555556,9,0,-283.1800000000001
chg_1m,< 0,337,226,-0.018755192878338278,-0.018174365781710913,0.26166666666666666,0.5555555555555556,9,0,-283.1800000000001
chg_1m,< 0,337,226,-0.018755192878338278,-0.018656532325467063,0.24866666666666667,0.5555555555555556,9,0,-283.1800000000001
chg_1m,< 0,337,226,-0.018755192878338278,-0.018257516838741394,0.254,0.5555555555555556,9,0,-283.1800000000001
chg_15m,< -0.3189,156,121,-0.08128205128205128,-0.04057401515151515,0.154,0.6666666666666666,9,0,-594.49
chg_15m,< -0.1898,312,219,-0.02759615384615384,-0.008857407914764076,0.39066666666666666,0.5555555555555556,9,1,-259.97
vwap_dist,< -0.4875,156,104,-0.07182692307692307,-0.09707698130341881,0.008333333333333333,0.6666666666666666,9,0,-368.2299999999999
vwap_dist,< -0.2925,312,184,-0.03491987179487179,-0.0613349862620773,0.016,0.5555555555555556,9,0,204.04999999999984
vwap_dist,< -0.1585,467,255,-0.025107066381156312,-0.0531791674291939,0.017666666666666667,0.4444444444444444,9,0,111.37999999999988
vwap_dist,< -0.07212,623,311,-0.015216693418940613,-0.048349776475311045,0.015,0.5555555555555556,9,1,515.1099999999997
vwap_dist,< 0.08786,934,389,-0.0051129550321199115,-0.019002586437424807,0.15733333333333333,0.3333333333333333,9,1,552.85
ema20_dist_1h,< -1.186,218,88,-0.010894495412844027,-0.03405564637445887,0.18133333333333335,0.7142857142857143,7,0,-165.92999999999992
ema20_dist_1h,< -0.8073,325,118,-0.03452307692307692,-0.053280038582964435,0.05633333333333333,0.5714285714285714,7,0,-982.19
ema20_dist_1h,< -0.4244,434,156,-0.012546082949308751,-0.02668286907845241,0.169,0.5714285714285714,7,0,-212.76999999999998
ema20_dist_1h,< -0.0076,543,193,-0.01535359116022099,-0.028068858867480628,0.131,0.42857142857142855,7,2,-358.66999999999985
ema20_dist_1h,< 0.3959,652,233,-0.008799079754601227,-0.025763553868183162,0.15233333333333332,0.42857142857142855,7,2,106.79000000000013
ema20_dist_1h,>= 1.177,219,86,-0.007009132420091331,0.01769291346885242,0.688,0.5,6,0,134.02999999999997
nearest_res_dist_pct,< 0.2072,116,81,-0.013879310344827579,-0.04259655692729767,0.18933333333333333,0.5,8,0,539.82
nearest_res_dist_pct,< 1.202,462,205,-0.006385281385281388,-0.039272669799622247,0.06533333333333333,0.625,8,1,398.72
nearest_res_dist_pct,< 999,575,238,-0.009513043478260874,-0.036857408701611964,0.06433333333333334,0.375,8,1,587.8799999999999
nearest_res_dist_pct,< 999,575,238,-0.009513043478260874,-0.03676470480085974,0.06633333333333333,0.375,8,1,587.8799999999999
nearest_res_dist_pct,< 999,575,238,-0.009513043478260874,-0.03658099231283423,0.06933333333333333,0.375,8,1,587.8799999999999
nearest_res_dist_pct,< 999,575,238,-0.009513043478260874,-0.036829652734831304,0.066,0.375,8,1,587.8799999999999
