logged_at,decision_time,asset,contract_ticker,close_time,spot,floor_strike,offset_pct,tau_minutes,spread,p_market,p_model_15m,raw_edge,side,decision,z_score,bp_5m,body_5m,dir_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,ema20_dist_1h,ema50_dist_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,bb_pct_1h,mu6h,mu12h,mu24h,regime_z,arima_forecast_1h,stoch_k_4h,rsi_4h,chg_4h,bp_4h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,markov_regime_1h,markov_regime_15m,markov_eth_daily,markov_sol_6h,markov_sol_4h,markov_sol_1h,p_up_v2_btc,z_drift_6h,p_gbdt,autocorr1_15,autocorr1_30,hurst_exponent,ou_theta,ou_halflife,ou_mu_distance,kalman_velocity,kalman_residual,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,vwap_hmm_state,p_up_v3,v3_agree,pup_v3_hmm_state,kc_pct_5m,kc_bo_5m,kc_pct_15m,kc_bo_15m,donch_breakout_5m,donch_pos_5m,donch_breakout_15m,donch_pos_15m,stoch_cross_5m,stoch_cross_15m,kalman_velocity_5m,kalman_residual_5m,hurst_exponent_5m,ou_theta_5m,kalman_velocity_15m,kalman_residual_15m,hurst_exponent_15m,ou_theta_15m,arima_forecast_15m,logged_at_p,won,be,tedge,episode,r_chg_5m,r_bb_pctb_5m,r_bb_width_5m,r_rsi_5m,r_stoch_5m,r_donch_5m,r_kc_pctb_5m,r_chg_15m,r_bb_pctb_15m,r_bb_width_15m,r_rsi_15m,r_stoch_15m,r_donch_15m,r_kc_pctb_15m,r_chg_1h,r_bb_pctb_1h,r_bb_width_1h,r_rsi_1h,r_stoch_1h,r_donch_1h,r_kc_pctb_1h,r_chg_4h,r_bb_pctb_4h,r_bb_width_4h,r_rsi_4h,r_stoch_4h,r_donch_4h,r_kc_pctb_4h,r_chg_1d,r_bb_pctb_1d,r_bb_width_1d,r_rsi_1d,r_stoch_1d,r_donch_1d,r_kc_pctb_1d,week,z_1h_ago,z_delta_1h,mins_below,chg_b15,sto_b15,chg_b60,sto_b60,offset_atr,ep_pos
2026-05-26 16:31:19.352473+00:00,2026-05-26T16:31:19.343681+00:00,SOL,KXSOL15M-26MAY261245-45,2026-05-26 16:45:00+00:00,84.185,84.1992,-0.0169,13.68,0.04,0.4,0.3462,0.0538,no,trade,0.0572,0.3529,0.6471,-1.0,0.058,1.0,0.7317,0.7317,1,0.2683,0.0,0.005806,0.838,-1.0,28.12,12.86,0.0,-0.1659,-0.0593,-0.2498,-1,,-0.5867,,1.5051,0.5138,0.5779,,0.232,-0.9972,-1.0,-2.0,22.27,0.0,52.88,,,0.0,0.3387,-0.0002171,0.0001779,-0.0005089,-0.2192,,50.0,50.0,-0.9856,0.145,-2.0,-1.0,0.0528,75.67,33.0,0.0,0.1344,0.03,30.0,1000.0,1.0,0.0,-30.0,84.41,0.2673,0.2504,Bear,,Bear,Bear,Bull,Sideways,,0.4273,,-0.0464025688795806,-0.0530607000529759,0.5455,2.3357,0.2968,-2.0081,-0.003749,-0.00174,0.2441,0.0,-61727.35,-17009467.781400025,0.9518563033457924,-31049743.626700018,,,,,,,,,,,,,,,,,,,,,,,,2026-05-26 16:31:19.352473+00:00,False,0.6,-0.6,132,-0.1303163132330254,0.2756692146558134,0.0196369940164701,41.87303003775357,24.793388429751957,0.2013422818791934,0.3342192794960372,0.3571428571428559,0.1043284605576131,0.0222281173048288,36.476069156441646,14.285714285714189,0.1428571428571418,0.2074329217557124,-0.9971844204598734,0.3012643485304939,0.0242397484156716,37.27656281426147,22.272727272727156,0.2227272727272715,0.2440740272927713,-1.0900140646975975,0.3011368993738733,0.0453797043596452,41.63416780369359,20.370370370370296,0.4663120567375878,0.3342441725519182,-0.3396977861075401,0.2643698182019351,0.1845522565224695,41.27380893537189,21.871127633209426,0.2094955489614243,0.3840725436351264,2026-05-23/2026-05-29,0.956134,-0.528834,5.039207883333333,0.2317125114539964,15.203779034516296,-0.4929074427190594,14.66704584741317,0.02910781949707199,1
2026-05-27 18:33:20.792040+00:00,2026-05-27T18:33:20.784527+00:00,SOL,KXSOL15M-26MAY271445-45,2026-05-27 18:45:00+00:00,83.3625,83.3683,-0.007,11.66,0.03,0.525,0.3407,0.1843,no,trade,0.0463,0.5,0.0,0.0,1.022,1.0,1.0,1.0,1,0.0,0.0,0.003677,0.814,0.0,73.53,16.56,0.0,0.0,0.0359,-0.1598,1,,-0.7475,,0.5027,0.3679,0.3189,,0.0,-1.0455,-1.0,-2.0,20.53,0.0,45.21,,,0.0,-0.0493,-0.0013353,-0.0005882,-0.0005528,-0.2908,,,,0.5836,0.8011,-2.0,-1.0,-0.1253,77.13,26.0,0.0,0.351,0.03,29.92,1000.0,1.0,0.0,-29.92,83.51,0.1769,0.17,Bear,,Bear,Sideways,Bear,Sideways,,0.4335,,0.1882887898248653,0.0442288236618189,0.4279,2.841663,0.2439,-2.4073,-0.004715,-0.001842,0.1992,0.0,-5480.73,-11690262.599899976,0.955459483748518,-30250026.815600008,,,,,,,,,,,,,,,,,,,,,,,,2026-05-27 18:33:20.792040+00:00,False,0.475,-0.475,137,0.0718735026353556,0.4551014843362114,0.0122572291549825,50.129861511232,75.75757575757615,0.2808988764044942,0.6188866855402542,0.3001560811622061,0.3555573991237533,0.0229209695644619,43.44807340196486,16.556291390728575,0.2840909090909105,0.3843834220632015,-1.045503148390159,-0.0352367967778501,0.0129535661097919,36.1193471203083,20.52631578947381,0.205263157894738,0.1991748592727516,0.583611243449278,0.3711409938816972,0.0418148234334022,49.71476015979149,43.2960893854748,0.3808353808353807,0.5378499231629639,-1.669017395392569,0.2064130388424621,0.1926158952679791,35.52311595491014,14.602076124567468,0.1252225519287833,0.2851444869137147,2026-05-23/2026-05-29,0.792519,-0.359019,25.21320066666667,0.27350699273263057,25.571496532211,-0.6008712393918869,4.941250761146278,0.019037258634756592,1
2026-05-27 23:05:39.441074+00:00,2026-05-27T23:05:39.430041+00:00,SOL,KXSOL15M-26MAY271915-15,2026-05-27 23:15:00+00:00,82.3625,82.373,-0.0127,9.35,0.01,0.435,0.3462,0.0888,no,trade,0.0674,1.0,0.9333,1.0,0.617,1.0,1.0,0.0,-1,0.0,0.0,0.003402,0.7125,1.0,32.79,18.42,0.1213,0.1335,-0.0727,-0.1599,-1,,-1.3922,,1.507,0.4483,0.4483,,0.2951,0.1092,1.0,1.0,12.55,0.0,36.21,,,0.0,-0.0719,-0.00334,-0.0014321,-0.0011262,-0.3267,,,,-0.6394,0.4306,-2.0,-1.0,0.0438,78.28,26.0,0.0,0.204,0.03,29.94,1000.0,1.0,0.0,-29.94,82.55,0.2277,0.2149,Bear,,Bear,Sideways,Bear,Bear,,0.5082,,-0.1610125479411125,-0.089992556760633,0.6597,2.370029,0.2925,0.5897,0.001161,0.005649,0.0944,0.0,6246.42,-63174729.50579998,0.79637172818284,-78141165.19819999,,,,,,,,,,,,,,,,,,,,,,,,2026-05-27 23:05:39.441074+00:00,False,0.565,-0.565,139,-0.0484261501210503,0.3857659568754226,0.0171962664654836,38.996734636500165,51.315789473683935,0.2635135135135132,0.2916135281405649,-0.120918984280538,0.1555558549094073,0.0289860031231824,27.64705175794701,22.631578947368133,0.2263157894736813,0.1041477532988769,0.2305545443514134,-0.0842752758488389,0.0236123441852087,32.5624678648462,16.349809885931307,0.163498098859313,0.0943610465818019,-0.6394316163410352,0.235805060752086,0.0384663447497345,42.21941193895256,28.21229050279306,0.2657894736842083,0.4039196168208511,-1.669017395392569,0.2064130388424621,0.1926158952679791,35.52311595491014,14.602076124567468,0.1252225519287833,0.2851444869137147,2026-05-23/2026-05-29,0.614411,-0.10621100000000006,10.1240179,-0.32118610914945167,11.783880766702627,0.12053124685134087,7.310084908727157,0.037330981775426215,1
2026-05-28 01:23:46.874130+00:00,2026-05-28T01:23:46.864777+00:00,SOL,KXSOL15M-26MAY272130-30,2026-05-28 01:30:00+00:00,82.4025,82.4673,-0.0786,6.22,0.05,0.505,0.2753,0.2297,no,trade,0.4544,0.1667,0.8333,-1.0,0.517,1.0,0.0769,0.2308,1,0.7692,0.1538,0.003189,0.4946,-1.0,2.94,30.14,0.0,0.0121,-0.3024,-0.1745,-1,,-0.9768,,0.2584,0.4483,0.5028,,0.8214,0.2183,1.0,1.0,17.87,0.0,37.43,,,0.0,0.1456,-0.0026411,-0.0013801,-0.0009979,-0.2057,,,,-1.7749,0.1526,-2.0,-0.9757,-0.0585,78.57,23.0,1.0,0.4549,0.03,30.2,1000.0,0.0,1.0,30.81,82.13,-0.3307,-0.409,Bear,,Bear,Sideways,Bear,Sideways,,0.5205,,-0.173440954336054,-0.0903892599541871,0.5966,2.234729,0.3102,0.5486,0.002247,0.000682,0.2208,0.0,495.32,-140164958.9439,0.7098794738130122,-215029951.04959995,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 01:23:46.874130+00:00,True,0.495,0.505,140,-0.2419842710223885,0.2921320211004794,0.0055948391663236,36.61489888506957,11.764705882354662,0.361702127659579,-0.0107196428305041,0.0121006776379495,0.4200135907845185,0.0279216867914174,48.051943281667256,63.1578947368422,0.2526315789473716,0.5765213879746376,0.2182876546204193,0.0935016323091592,0.0296446388962539,35.59921803268172,17.870722433460067,0.1787072243346006,0.2207834702582456,-1.7280419497080255,-0.0688927317491132,0.0450313342768989,28.834148846701325,6.823529411764519,0.0672853828306245,0.1153749684029685,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.586299,-0.06579900000000005,15.147902166666666,-0.1260553329410774,49.82053582874065,0.14866858293500762,17.608153996006834,0.2464722483537159,1
2026-05-28 02:04:12.721511+00:00,2026-05-28T02:04:12.707955+00:00,SOL,KXSOL15M-26MAY272215-15,2026-05-28 02:15:00+00:00,82.0425,82.1407,-0.1196,10.79,0.06,0.44,0.3462,0.0938,no,trade,0.4934,1.0,0.6,1.0,0.463,1.0,0.7917,0.2083,-1,0.0,0.2083,0.00292,1.0,-1.0,28.21,28.21,0.0,-0.0365,-0.2185,-0.2844,-1,,-1.2913,,0.2701,0.4483,0.535,,0.3205,-0.5082,-1.0,-1.0,8.83,-1.0,34.24,,,-1.0,0.0697,-0.003391,-0.0013472,-0.0011449,-0.3021,,,,-1.7749,0.1526,-2.0,-1.0,0.3007,78.48,23.0,1.0,0.2131,0.03,30.24,1000.0,1.0,0.0,-30.24,82.36,0.387,0.267,Bear,,Bear,Sideways,Bear,Bear,,0.2413,,-0.1908742444224027,-0.1049775944812879,0.5893,2.105362,0.3292,-0.9578,-0.000758,-0.002314,0.0846,0.0,4738.65,-140164958.9439,0.7098794738130122,-215029951.04959995,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 02:04:12.721511+00:00,False,0.56,-0.56,140,0.0365007908504688,0.1790259844131233,0.0093690669637021,41.15934437660201,14.516129032258506,0.145161290322585,0.2510598041072281,0.0730282375851931,0.2781281045282067,0.0195939743659896,34.10528073273285,14.516129032258506,0.0538922155688642,0.2526271683356044,-0.5082284607938026,0.0154479751456262,0.0332167741852021,30.19313027538351,3.370786516854058,0.0337078651685405,0.0845295519342087,-1.7280419497080255,-0.0688927317491132,0.0450313342768989,28.834148846701325,6.823529411764519,0.0672853828306245,0.1153749684029685,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.622561,-0.38126100000000007,55.578691850000006,0.08517271418080341,23.801501632661427,-0.3724136599410399,5.950468227598751,0.40958904109589045,2
2026-05-28 02:19:20.849266+00:00,2026-05-28T02:19:20.839777+00:00,SOL,KXSOL15M-26MAY272230-30,2026-05-28 02:30:00+00:00,82.1825,82.2187,-0.044,10.66,0.05,0.385,0.2753,0.1097,no,trade,0.2069,1.0,1.0,1.0,0.037,1.0,0.8235,1.0,1,0.0,0.1765,0.002934,0.7041,-1.0,47.06,41.03,-0.0729,-0.085,0.1217,-0.1498,1,,-1.2913,,0.1428,0.4522,0.4727,,0.3205,-0.5082,-1.0,-1.0,8.83,-1.0,34.24,,,-1.0,0.0697,-0.003391,-0.0013472,-0.0011449,-0.3021,,,,-1.7749,0.1526,-2.0,-1.0,-0.1962,78.54,23.0,1.0,0.2851,0.03,30.13,1000.0,0.0,1.0,18.86,82.21,0.0335,-0.0106,Bear,,Bear,Sideways,Bear,Bear,,0.1927,,-0.1908742444224027,-0.1049775944812879,0.5893,2.105362,0.3292,-0.9578,-0.000758,-0.002314,0.0846,0.0,4738.65,-140164958.9439,0.7098794738130122,-215029951.04959995,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 02:19:20.849266+00:00,True,0.615,0.385,140,0.1825039542523443,0.395134847155,0.0101228949689123,51.2593696866021,38.88888888888991,0.3387096774193652,0.6415916371983664,0.1459498905375778,0.361247907074136,0.0148927747773873,41.93509663077312,33.87096774193652,0.1329113924050684,0.4228393088879343,-0.5082284607938026,0.0154479751456262,0.0332167741852021,30.19313027538351,3.370786516854058,0.0337078651685405,0.0845295519342087,-1.7280419497080255,-0.0688927317491132,0.0450313342768989,28.834148846701325,6.823529411764519,0.0672853828306245,0.1153749684029685,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.520529,-0.32782900000000004,70.71415443333333,0.06110312403855289,33.243900917203675,-0.3724136599410399,5.950468227598751,0.14996591683708246,3
2026-05-28 02:34:31.658987+00:00,2026-05-28T02:34:31.647328+00:00,SOL,KXSOL15M-26MAY272245-45,2026-05-28 02:45:00+00:00,82.0575,82.0682,-0.013,10.48,0.06,0.5,0.3654,0.1346,no,trade,0.0473,0.0,1.0,-1.0,0.021,1.0,0.5,0.4474,-1,0.0526,0.4474,0.003093,1.4944,1.0,51.06,30.77,0.0,0.0487,-0.0972,-0.0681,-1,,-1.2913,,0.0393,0.4522,0.6175,,0.3205,-0.5082,-1.0,-1.0,8.83,-1.0,34.24,,,-1.0,0.0697,-0.003391,-0.0013472,-0.0011449,-0.3021,,,,-1.7749,0.1526,-2.0,-1.0,0.0021,78.41,23.0,1.0,0.2692,0.03,30.0,1000.0,0.0,1.0,30.0,82.1,0.0518,0.0387,Bear,,Bear,Sideways,Bear,Bear,,0.1502,,-0.1908742444224027,-0.1049775944812879,0.5893,2.105362,0.3292,-0.9578,-0.000758,-0.002314,0.0846,0.0,4738.65,-140164958.9439,0.7098794738130122,-215029951.04959995,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 02:34:31.658987+00:00,True,0.5,0.5,140,0.207317073170743,0.2820092772661462,0.0103326874902459,44.52387648280543,37.777777777777914,0.2266666666666689,0.3748810354240059,-0.206461015302406,0.1589482981932269,0.0096738681548146,35.10171969617461,22.66666666666689,0.1125827814569543,0.2639102833151013,-0.5082284607938026,0.0154479751456262,0.0332167741852021,30.19313027538351,3.370786516854058,0.0337078651685405,0.0845295519342087,-1.7280419497080255,-0.0688927317491132,0.0450313342768989,28.834148846701325,6.823529411764519,0.0672853828306245,0.1153749684029685,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.331554,-0.18135400000000002,85.89431644999999,-0.1927742735925997,4.086175764922145,-0.3724136599410399,5.950468227598751,0.04203039120594892,4
2026-05-28 03:04:50.109946+00:00,2026-05-28T03:04:50.099810+00:00,SOL,KXSOL15M-26MAY272315-15,2026-05-28 03:15:00+00:00,81.9225,81.9978,-0.0918,10.17,0.04,0.4,0.2907,0.1093,no,trade,0.6917,0.5,0.0,0.0,6.752,1.0,0.5714,0.5714,1,0.4286,0.0,0.002733,0.3121,-1.0,18.42,12.82,0.0,-0.0852,-0.0365,-0.1135,-1,,-1.298,,0.176,0.4483,0.302,,0.3684,-0.0973,-1.0,-2.0,6.01,0.0,33.03,,,0.0,0.1089,-0.0034937,-0.0018064,-0.0013474,-0.2979,,,,-1.7749,0.1526,-2.0,-1.0,0.0787,78.46,23.0,1.0,0.2733,0.03,30.0,1000.0,0.0,1.0,20.0,81.94,0.0214,-0.0705,Bear,,Bear,Sideways,Bear,Bear,,0.0296,,-0.1856025519115707,-0.1054116644478141,0.5766,2.172023,0.3191,-0.1054,0.000114,0.000673,0.1044,0.0,-7198.48,-140164958.9439,0.7098794738130122,-215029951.04959995,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 03:04:50.109946+00:00,True,0.6,0.4,140,0.0,0.3458793496943169,0.0052881671034986,44.91365814894595,36.84210526315849,0.3111111111111104,0.4214323078771543,0.0365363536719121,0.1937486171599558,0.0102438493577836,35.22628065359089,18.666666666666742,0.1505376344086016,0.2903235563676166,-0.0972999270250518,0.0586845303464422,0.0361588204035482,29.20270798247776,5.000000000000025,0.0500000000000002,0.1044386232223427,-1.7280419497080255,-0.0688927317491132,0.0450313342768989,28.834148846701325,6.823529411764519,0.0672853828306245,0.1153749684029685,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.241281,-0.211681,116.20183243333332,0.09995641302351643,37.84464565321096,0.02146684644086516,10.535725566997579,0.33589462129527986,5
2026-05-28 03:50:21.616835+00:00,2026-05-28T03:50:21.605177+00:00,SOL,KXSOL15M-26MAY280000-00,2026-05-28 04:00:00+00:00,80.91,80.9592,-0.0608,9.64,0.08,0.42,0.3407,0.0793,no,trade,0.2408,0.1818,0.1818,1.0,0.11,1.0,0.96,0.04,-1,0.0,0.04,0.003903,0.7901,-4.0,24.31,17.33,0.0,0.0247,-0.1109,-0.9664,-1,,-1.3051,,1.1461,0.4483,0.5895,,0.3684,-0.0973,-1.0,-2.0,6.01,,33.03,,,0.0,0.1257,-0.0034937,-0.0018064,-0.001461,-0.298,,,,-1.7749,0.1526,-2.0,-1.0,0.3958,78.24,23.0,1.0,0.1887,0.03,30.16,1000.0,0.0,1.0,21.84,80.7,-0.2595,-0.3202,Bear,,Bear,Sideways,Bear,Bear,,0.1764,,-0.1856025519115707,-0.1054116644478141,0.5766,2.172023,0.3191,-0.1054,0.000114,0.000673,-0.2997,-1.0,-26042.71,-6975548.0146000385,0.9786282392103348,-210315236.4643,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 03:50:21.616835+00:00,True,0.5800000000000001,0.4199999999999999,141,-0.0123319768158935,0.0931314182188449,0.0222586730238872,25.427625579523948,24.3055555555552,0.2121212121212097,-0.0667421252576497,-0.4542106555364467,-0.2290649613074548,0.0190566469600421,13.239025367467775,17.82178217821783,0.1782178217821783,-0.2419203281077963,-0.0972999270250518,0.0586845303464422,0.0361588204035482,29.20270798247776,5.000000000000025,0.0500000000000002,0.1044386232223427,-1.7280419497080255,-0.0688927317491132,0.0450313342768989,28.834148846701325,6.823529411764519,0.0672853828306245,0.1153749684029685,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.047353,0.129047,161.72694725000002,-0.4680053755139246,1.889225718927235,0.02146684644086516,10.535725566997579,0.15577760696899823,1
2026-05-28 04:10:32.728324+00:00,2026-05-28T04:10:32.717902+00:00,SOL,KXSOL15M-26MAY280015-15,2026-05-28 04:15:00+00:00,80.755,80.6363,0.1472,4.46,0.06,0.79,0.7238,0.0662,no,trade,-0.3929,1.0,1.0,1.0,1.733,1.0,0.4918,0.3279,-1,0.1803,0.3279,0.004286,1.7608,1.0,36.08,26.72,0.0,0.3725,0.2605,-0.8506,1,,-2.6886,,1.315,0.4483,1.2852,,0.1266,-1.6801,-1.0,-3.0,4.72,0.0,28.33,,,0.0,-0.1082,-0.0033708,-0.0037232,-0.0024287,-0.5659,,50.0,50.0,-2.0616,0.0913,-2.0,-0.7953,0.1901,78.12,23.0,1.0,0.0838,0.0252,25.2,1000.0,0.0,1.0,94.8,80.63,-0.1548,-0.0078,Bear,,Bear,Bear,Bear,Bear,,0.1298,,-0.1541977242376065,-0.0940693547409989,0.6017,2.154851,0.3217,-3.0065,-0.004798,-0.004401,-0.2997,-1.0,-26042.71,-6975548.0146000385,0.9786282392103348,-210315236.4643,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28 04:10:32.728324+00:00,True,0.2099999999999999,0.79,141,0.5599800895968121,0.1982898130641796,0.0289880767723531,37.02309372962839,33.83084577114453,0.3269230769230805,0.2594530731187257,-0.4069552349241556,-0.1880736966648013,0.0244255365572767,10.559160316243108,6.572769953051684,0.0657276995305168,-0.2997507978701322,-1.6800584368151903,-0.1694547026080985,0.0455825819122214,17.76354491610998,3.3492822966507374,0.0334928229665073,-0.2997039622291978,-2.0616056269706418,-0.2167672534482665,0.0601226529668104,20.17226957804249,2.554744525547461,0.0238907849829352,-0.1241052488199749,-1.4343772412144462,0.1706453520767995,0.2032657815077263,31.27424729106737,7.539353769676851,0.0540059347181006,0.2168163982510376,2026-05-23/2026-05-29,0.029646,0.10015399999999999,181.91213873333334,-0.20551931526069378,12.047006870132504,-1.4109504784733828,7.567237878800497,0.34344377041530566,2
