logged_at,contract_ticker,p_market,decision,side,would_win,would_pnl,asset,logged_at_p,effective,smc_state,be,won
2026-04-07 22:23:22,KXBTCD-26APR0719-T70499.99,0.335,trade,no,False,-12.5,BTC,2026-04-07 22:23:22+00:00,2026-04-07 22:00:00+00:00,3.0,0.665,False
2026-04-07 22:37:01,KXBTCD-26APR0719-T71299.99,0.325,trade,no,False,-12.5,BTC,2026-04-07 22:37:01+00:00,2026-04-07 22:00:00+00:00,3.0,0.675,False
2026-04-07 23:05:22,KXBTCD-26APR0720-T71699.99,0.3,trade,no,False,-12.5,BTC,2026-04-07 23:05:22+00:00,2026-04-07 23:00:00+00:00,0.0,0.7,False
2026-04-07 23:06:25,KXBTCD-26APR0720-T71499.99,0.32,trade,no,False,-12.5,BTC,2026-04-07 23:06:25+00:00,2026-04-07 23:00:00+00:00,0.0,0.6799999999999999,False
2026-04-08 00:57:28,KXBTCD-26APR0721-T71699.99,0.335,trade,no,True,6.3,BTC,2026-04-08 00:57:28+00:00,2026-04-08 00:00:00+00:00,0.0,0.665,True
2026-04-08 01:02:45,KXBTCD-26APR0722-T71799.99,0.325,trade,no,True,6.02,BTC,2026-04-08 01:02:45+00:00,2026-04-08 01:00:00+00:00,0.0,0.675,True
2026-04-08 01:05:33,KXBTCD-26APR0722-T71699.99,0.3,trade,no,True,10.71,BTC,2026-04-08 01:05:33+00:00,2026-04-08 01:00:00+00:00,0.0,0.7,True
2026-04-08 02:00:42,KXBTCD-26APR0723-T71599.99,0.35,trade,no,True,13.46,BTC,2026-04-08 02:00:42+00:00,2026-04-08 02:00:00+00:00,0.0,0.65,True
2026-04-08 02:01:45,KXBTCD-26APR0723-T71699.99,0.265,trade,no,True,9.01,BTC,2026-04-08 02:01:45+00:00,2026-04-08 02:00:00+00:00,0.0,0.735,True
2026-04-08 03:01:06,KXBTCD-26APR0800-T71599.99,0.235,trade,no,True,7.68,BTC,2026-04-08 03:01:06+00:00,2026-04-08 03:00:00+00:00,0.0,0.765,True
2026-04-08 03:02:10,KXBTCD-26APR0800-T71499.99,0.335,trade,no,True,12.59,BTC,2026-04-08 03:02:10+00:00,2026-04-08 03:00:00+00:00,0.0,0.665,True
2026-04-08 04:00:52,KXBTCD-26APR0801-T71399.99,0.27,trade,no,False,-25.0,BTC,2026-04-08 04:00:52+00:00,2026-04-08 04:00:00+00:00,0.0,0.73,False
2026-04-08 04:01:56,KXBTCD-26APR0801-T71499.99,0.23,trade,no,False,-25.0,BTC,2026-04-08 04:01:56+00:00,2026-04-08 04:00:00+00:00,0.0,0.77,False
2026-04-08 05:06:12,KXBTCD-26APR0802-T71699.99,0.335,trade,no,False,-25.0,BTC,2026-04-08 05:06:12+00:00,2026-04-08 05:00:00+00:00,0.0,0.665,False
