feature,split,n,wr,edge,pnl,n_weeks,worst_wk_share
pm_drift_5m,<0.025(q0.5),17,0.9411764705882353,0.19999999999999996,208.19,6,26.50943849368365
pm_drift_5m,>=0.04(q0.6),16,0.875,0.15312499999999996,175.76999999999998,7,43.6071439587896
pm_drift_5m,<0.04(q0.6),18,0.9444444444444444,0.19777777777777783,217.71,6,25.52018740526388
pm_drift_5m,>=0.053(q0.7),10,0.9,0.19399999999999995,147.71,6,46.53371320037987
pm_drift_5m,<0.053(q0.7),24,0.9166666666666666,0.1695833333333333,245.77,7,23.903172629204388
hour_utc,>=1(q0.1),218,0.8440366972477065,0.12926605504587163,1997.1999999999998,8,28.051955510461934
hour_utc,<1(q0.1),15,0.8666666666666667,0.1526666666666665,144.7,7,25.543052489138944
hour_utc,>=3.4(q0.2),186,0.8387096774193549,0.12446236559139778,1619.8400000000001,8,30.457306180778847
hour_utc,<3.4(q0.2),47,0.8723404255319149,0.15574468085106385,522.06,8,36.727122835943945
hour_utc,>=5.6(q0.3),163,0.8282208588957055,0.11730061349693255,1331.95,8,26.237389172372588
hour_utc,<5.6(q0.3),70,0.8857142857142857,0.16214285714285714,809.9500000000002,8,25.776899808630166
hour_utc,>=9(q0.4),145,0.8275862068965517,0.1180000000000001,1151.39,8,29.441984348844308
hour_utc,<9(q0.4),88,0.875,0.15181818181818185,990.51,8,25.517105973592503
hour_utc,>=12(q0.5),120,0.8083333333333333,0.09899999999999998,804.31,8,26.10779940806203
hour_utc,<12(q0.5),113,0.8849557522123894,0.16451327433628316,1337.59,8,20.67599189587243
hour_utc,>=13(q0.6),109,0.8073394495412844,0.09880733944954134,712.87,8,25.500587476480398
hour_utc,<13(q0.6),124,0.8790322580645161,0.15887096774193532,1429.03,8,21.096128142866142
hour_utc,>=15(q0.7),75,0.8133333333333334,0.10440000000000005,534.9399999999999,8,25.161173641992384
hour_utc,<15(q0.7),158,0.8607594936708861,0.1432911392405064,1606.96,8,21.955120227012497
hour_utc,>=18(q0.8),50,0.84,0.13419999999999999,458.34999999999997,7,21.87090261420466
hour_utc,<18(q0.8),183,0.8469945355191257,0.12983606557377048,1683.55,8,25.944633317144245
hour_utc,>=19(q0.9),36,0.8611111111111112,0.15722222222222226,408.1600000000001,6,29.79592591223335
hour_utc,<19(q0.9),197,0.8426395939086294,0.1259390862944162,1733.7400000000002,8,26.528322427985824
liq_score,==-2.0,70,0.8428571428571429,0.134857142857143,780.0000000000001,6,35.360256410256405
liq_score,==0.0,37,0.7837837837837838,0.0781081081081082,216.97000000000006,6,39.33341955031685
liq_bias,>=-0.9829(q0.5),59,0.7966101694915254,0.09135593220338978,362.22,6,44.56598911357123
