logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-02 11:10:47+00:00,KXBTC15M-26JUL020715-15,61236.07,61195.19,0.9025,4.2,0.358251,1.0,2026-07-02 09:30:46+00:00,0.4905,2026-07-02 11:00:00+00:00,0.4433258762117822,0.8288978204943406,0.16919244470162498,-0.07360217950565939,0.07169244470162495,no,0.07169244470162495,0.0,0.09750000000000003,2026-07-02
2026-07-09 06:37:36+00:00,KXBTC15M-26JUL090245-45,62745.62,62750.64,0.545,7.4,0.361734,1.0,2026-07-09 04:59:22+00:00,0.4743,2026-07-09 06:00:00+00:00,0.4784688995215311,0.4727242249580707,0.5257660907660094,-0.07227577504192934,0.07076609076600948,no,0.07076609076600948,0.0,0.45499999999999996,2026-07-09
2026-07-04 13:53:44+00:00,KXBTC15M-26JUL041000-00,62519.45,62552.72,0.125,6.3,0.241684,0.0,2026-07-04 13:44:01+00:00,0.6029,2026-07-04 13:45:00+00:00,0.5959119496855346,0.19569239690125628,0.8086255768757958,0.07069239690125628,-0.06637442312420416,yes,0.07069239690125628,0.0,0.125,2026-07-04
2026-07-02 19:49:11+00:00,KXBTC15M-26JUL021600-00,61489.05,61525.77,0.195,10.8,0.287947,0.0,2026-07-02 19:43:23+00:00,0.6869,2026-07-02 19:45:00+00:00,0.5543613063249276,0.26490248660365856,0.7388818815390671,0.06990248660365855,-0.06611811846093285,yes,0.06990248660365855,0.0,0.195,2026-07-02
2026-07-05 17:46:57+00:00,KXBTC15M-26JUL051400-00,62570.28,62568.67,0.585,13.0,0.244843,1.0,2026-07-05 17:30:14+00:00,0.3497,2026-07-05 17:45:00+00:00,0.4645161290322581,0.5120930229043404,0.48460121395491085,-0.07290697709565952,0.06960121395491081,no,0.06960121395491081,0.0,0.41500000000000004,2026-07-05
2026-07-08 16:24:44+00:00,KXBTC15M-26JUL081230-30,61857.71,61783.39,0.91,5.3,0.512491,1.0,2026-07-08 15:05:42+00:00,0.4282,2026-07-08 16:15:00+00:00,0.3019271948608137,0.8329990719495932,0.15939999080078882,-0.07700092805040681,0.06939999080078885,no,0.06939999080078885,0.0,0.08999999999999997,2026-07-08
2026-07-02 20:04:29+00:00,KXBTC15M-26JUL021615-15,61403.52,61403.97,0.445,10.5,0.478529,0.0,2026-07-02 19:43:23+00:00,0.6869,2026-07-02 20:00:00+00:00,0.5848375451263538,0.5141442077680726,0.49300556656716243,0.06914420776807256,-0.061994433432837504,yes,0.06914420776807256,0.0,0.445,2026-07-02
2026-07-06 10:32:19+00:00,KXBTC15M-26JUL060645-45,62814.08,62819.98,0.505,12.7,0.139348,1.0,2026-07-06 10:20:22+00:00,0.4461,2026-07-06 10:30:00+00:00,0.4355942750466708,0.4307677835546898,0.5633624144285085,-0.0742322164453102,0.06836241442850854,no,0.06836241442850854,0.0,0.495,2026-07-06
2026-07-10 00:48:09+00:00,KXBTC15M-26JUL092100-00,63011.0,63022.95,0.535,11.8,0.397572,1.0,2026-07-10 00:47:56+00:00,0.5848,2026-07-10 00:45:00+00:00,0.5508684863523573,0.4711754396011427,0.533334837241171,-0.06382456039885731,0.06833483724117106,no,0.06833483724117106,0.0,0.46499999999999997,2026-07-10
2026-07-04 06:46:37+00:00,KXBTC15M-26JUL040300-00,62409.43,62404.57,0.635,13.4,0.157503,1.0,2026-07-04 06:44:09+00:00,0.6358,2026-07-04 06:45:00+00:00,0.4597701149425287,0.5633086691789476,0.4329334598545862,-0.07169133082105239,0.06793345985458621,no,0.06793345985458621,0.0,0.365,2026-07-04
2026-07-06 07:34:36+00:00,KXBTC15M-26JUL060345-45,62910.57,62916.94,0.525,10.4,0.190482,1.0,2026-07-06 07:29:51+00:00,0.5876,2026-07-06 07:30:00+00:00,0.5391600454029511,0.4605576908038694,0.5426909603022313,-0.06444230919613064,0.06769096030223132,no,0.06769096030223132,0.0,0.475,2026-07-06
2026-07-02 18:48:04+00:00,KXBTC15M-26JUL021500-00,61718.6,61728.02,0.525,11.9,0.36545,0.0,2026-07-02 18:47:44+00:00,0.5994,2026-07-02 18:45:00+00:00,0.4437627811860941,0.4525345615899656,0.5424717205330123,-0.07246543841003444,0.06747172053301231,no,0.06747172053301231,1.0,0.475,2026-07-02
2026-07-03 22:21:39+00:00,KXBTC15M-26JUL031830-30,62606.52,62562.39,0.845,8.4,0.337868,1.0,2026-07-03 22:04:12+00:00,0.4843,2026-07-03 22:15:00+00:00,0.5040756439517444,0.7778243737432846,0.22240333998745387,-0.06717562625671536,0.06740333998745385,no,0.06740333998745385,0.0,0.15500000000000003,2026-07-03
2026-07-05 22:52:28+00:00,KXBTC15M-26JUL051900-00,63542.73,63500.59,0.745,7.5,0.595237,1.0,2026-07-05 22:13:18+00:00,0.4681,2026-07-05 22:45:00+00:00,0.5040756439517444,0.6779690569569122,0.3222900070161746,-0.06703094304308777,0.0672900070161746,no,0.0672900070161746,0.0,0.255,2026-07-05
2026-07-04 12:57:54+00:00,KXBTC15M-26JUL040900-00,62579.13,62564.07,0.95,2.1,0.150213,1.0,2026-07-04 12:35:18+00:00,0.4899,2026-07-04 12:45:00+00:00,0.431578947368421,0.8822070780235081,0.1165245377550731,-0.0677929219764919,0.06652453775507305,no,0.06652453775507305,0.0,0.050000000000000044,2026-07-04
2026-07-03 14:53:57+00:00,KXBTC15M-26JUL031100-00,62066.86,61986.74,0.885,6.0,0.596067,1.0,2026-07-03 14:36:49+00:00,0.4968,2026-07-03 14:45:00+00:00,0.4594703049759229,0.8169237529180682,0.1813742958869965,-0.06807624708193183,0.0663742958869965,no,0.0663742958869965,0.0,0.11499999999999999,2026-07-03
2026-07-08 05:46:46+00:00,KXBTC15M-26JUL080200-00,62580.97,62573.85,0.465,13.2,0.268296,1.0,2026-07-08 05:38:20+00:00,0.5144,2026-07-08 05:45:00+00:00,0.487750556792873,0.5308557033667644,0.467998584990135,0.06585570336676433,-0.0670014150098649,yes,0.06585570336676433,1.0,0.465,2026-07-08
