logged_at,contract_ticker,spot,strike,p_market,tau_minutes,resolved_yes,pu_ts,p_up_v2,rv_ts,rv_ann,vol_imp,vol_real,vol_eff,sigma_tau,z_strike,tau_scale,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-03 13:27:41+00:00,KXBTC15M-26JUL030930-30,61980.94,61994.66,0.715,2.3,1.0,2026-07-03 13:25:38+00:00,0.6112,2026-07-03 13:25:00+00:00,0.26028594791899584,,0.000359023638697017,0.000359023638697017,0.0005444863067419292,0.40650035370663096,0.19578900207451216,0.3523995364099278,0.6516985573249453,-0.36260046359007214,0.3666985573249453,no,0.3666985573249453,0.0,0.28500000000000003,2026-07-03
2026-07-04 00:05:17+00:00,KXBTC15M-26JUL032015-15,62536.08,62559.15,0.655,9.7,1.0,2026-07-03 23:40:20+00:00,0.602,2026-07-04 00:05:00+00:00,0.20699065421072418,,0.00028551114051741976,0.00028551114051741976,0.0008892193937312156,0.4147896576199566,0.4020779360604939,0.35837131863305705,0.6493644660130544,-0.296628681366943,0.30436446601305445,no,0.30436446601305445,0.0,0.345,2026-07-04
2026-07-05 08:37:41+00:00,KXBTC15M-26JUL050445-45,62866.45,62885.54,0.595,7.3,1.0,2026-07-05 08:37:11+00:00,0.4797,2026-07-05 08:35:00+00:00,0.17410439475482772,,0.0002401497038844111,0.0002401497038844111,0.000648848769755421,0.4679264291535588,0.3488074922742725,0.31675059249082693,0.6819837990611823,-0.27824940750917304,0.2769837990611823,no,0.2769837990611823,0.0,0.405,2026-07-05
2026-07-04 05:50:48+00:00,KXBTC15M-26JUL040200-00,62501.69,62503.42,0.255,9.2,0.0,2026-07-04 05:08:41+00:00,0.7114,2026-07-04 05:50:00+00:00,0.19076754272942548,1.3850835804435932e-05,0.00026313390286179393,0.00010109990927451122,0.00030665120777341226,0.09026172990011783,0.39157800414902433,0.5075342095357604,0.5098818829294602,0.25253420953576045,-0.23511811707053976,yes,0.25253420953576045,0.0,0.255,2026-07-04
2026-07-08 16:55:09+00:00,KXBTC15M-26JUL081300-00,61979.54,61986.63,0.705,4.8,1.0,2026-07-08 15:05:42+00:00,0.4282,2026-07-08 16:55:00+00:00,0.4608838807883028,,0.0006357170228371852,0.0006357170228371852,0.0013927862143918127,0.08212749720573172,0.282842712474619,0.4571093301122474,0.538828325474562,-0.24789066988775255,0.243828325474562,no,0.243828325474562,0.0,0.29500000000000004,2026-07-08
2026-07-07 01:26:19+00:00,KXBTC15M-26JUL062130-30,63935.28,63942.17,0.705,3.7,0.0,2026-07-07 01:21:58+00:00,0.5588,2026-07-07 01:25:00+00:00,0.46687700022364487,,0.0006439835910634959,0.0006439835910634959,0.0012387271703520647,0.08699205435274318,0.248327740429189,0.47264413662382015,0.5302791954538033,-0.2323558633761798,0.23527919545380327,no,0.23527919545380327,1.0,0.29500000000000004,2026-07-07
2026-07-08 12:54:29+00:00,KXBTC15M-26JUL080900-00,62047.68,62052.75,0.675,5.5,0.0,2026-07-08 12:33:54+00:00,0.3933,2026-07-08 12:50:00+00:00,0.357834808965432,,0.0004935769917444916,0.0004935769917444916,0.001157540650382301,0.07058760023905333,0.30276503540974914,0.4555817305274923,0.5379131668746375,-0.21941826947250775,0.21291316687463757,no,0.21291316687463757,1.0,0.32499999999999996,2026-07-08
2026-07-05 12:31:21+00:00,KXBTC15M-26JUL050845-45,62684.26,62684.84,0.675,13.6,0.0,2026-07-05 12:26:10+00:00,0.3497,2026-07-05 12:30:00+00:00,0.18665582073474582,,0.00025746242730330604,0.00025746242730330604,0.0009494745178421473,0.009745052148855153,0.4760952285695233,0.4595122828074589,0.5258714074232838,-0.21548771719254112,0.2008714074232838,no,0.2008714074232838,1.0,0.32499999999999996,2026-07-05
2026-07-09 00:36:40+00:00,KXBTC15M-26JUL082045-45,62138.35,62140.68,0.665,8.3,1.0,2026-07-09 00:26:03+00:00,0.3473,2026-07-09 00:35:00+00:00,0.23908414792312854,,0.0003297790811544346,0.0003297790811544346,0.0009500843181774049,0.03946625448961017,0.3719318934070233,0.45522131581018677,0.5331834214788926,-0.20977868418981327,0.19818342147889267,no,0.19818342147889267,0.0,0.33499999999999996,2026-07-09
2026-07-05 08:17:21+00:00,KXBTC15M-26JUL050430-30,62972.5,62968.16,0.325,12.7,0.0,2026-07-05 08:16:37+00:00,0.4509,2026-07-05 08:15:00+00:00,0.18496785480052813,,0.0002551341430584414,0.0002551341430584414,0.0009092230601551517,-0.07580246323392377,0.4600724580614087,0.5189102747677466,0.47656675112260827,0.19391027476774664,-0.19843324887739178,yes,0.19391027476774664,0.0,0.325,2026-07-05
2026-07-03 18:55:38+00:00,KXBTC15M-26JUL031500-00,62162.73,62173.98,0.505,4.4,0.0,2026-07-03 18:51:43+00:00,0.5819,2026-07-03 18:55:00+00:00,0.13228054433022524,,0.00018246026239203498,0.00018246026239203498,0.0003827318752724277,0.4728120260904611,0.27080128015453203,0.3282259828546422,0.6758104204611117,-0.1767740171453578,0.18081042046111173,no,0.18081042046111173,1.0,0.495,2026-07-03
