logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,decision_time,z_drift_raw,zd,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,touched,era
2026-06-02 03:40:38+00:00,KXBTC15M-26JUN012345-45,70934.66,70867.39,0.335,4.4,0.428581,1.0,2026-06-02 03:25:28.710679+00:00,0.8441401901603571,0.5,0.8970883111802361,0.10291168881976387,0.5620883111802362,-0.5620883111802362,yes,0.5620883111802362,1.0,0.335,False,pre
2026-07-05 08:17:21+00:00,KXBTC15M-26JUL050430-30,62972.5,62968.16,0.325,12.7,0.171855,0.0,2026-07-05 08:12:15.504997+00:00,2.685255318623364,0.5,0.719577324080581,0.28042267591941905,0.39457732408058094,-0.394577324080581,yes,0.39457732408058094,0.0,0.325,True,post
2026-07-04 05:50:48+00:00,KXBTC15M-26JUL040200-00,62501.69,62503.42,0.255,9.2,0.136544,0.0,2026-07-04 05:40:39.264531+00:00,1.5598238498953054,0.5,0.6473594636961426,0.3526405363038574,0.3923594636961426,-0.3923594636961426,yes,0.3923594636961426,0.0,0.255,True,post
2026-07-05 21:46:05+00:00,KXBTC15M-26JUL051800-00,62979.72,62957.71,0.405,13.9,0.293615,1.0,2026-07-05 21:40:59.534286+00:00,1.8470303799021317,0.5,0.7677608618201461,0.23223913817985387,0.3627608618201461,-0.3627608618201461,yes,0.3627608618201461,1.0,0.405,True,post
2026-07-06 23:09:15+00:00,KXBTC15M-26JUL061915-15,64233.58,64199.37,0.465,5.7,0.380874,1.0,2026-07-06 23:04:11.820958+00:00,0.534276372998486,0.5,0.8224474783545402,0.17755252164545976,0.3574474783545402,-0.35744747835454016,yes,0.3574474783545402,1.0,0.465,False,post
2026-05-27 14:07:56+00:00,KXBTC15M-26MAY271015-15,74973.2,74922.44,0.425,7.1,0.753359,0.0,2026-05-27 14:02:54.367558+00:00,0.6035771146416169,0.5,0.7717436749990061,0.2282563250009939,0.3467436749990061,-0.34674367499900605,yes,0.3467436749990061,0.0,0.425,False,pre
2026-07-09 06:07:10+00:00,KXBTC15M-26JUL090215-15,62550.74,62533.11,0.415,7.8,0.347999,0.0,2026-07-09 06:02:05.371243+00:00,0.9102283852717594,0.5,0.7612325612809934,0.23876743871900663,0.3462325612809934,-0.34623256128099333,yes,0.3462325612809934,0.0,0.415,True,post
2026-07-10 11:03:54+00:00,KXBTC15M-26JUL100715-15,64390.5,64364.97,0.485,11.1,0.19822,1.0,2026-07-10 10:53:45.448890+00:00,0.9403140766850273,0.5,0.8251948075727087,0.1748051924272913,0.3401948075727087,-0.3401948075727087,yes,0.3401948075727087,1.0,0.485,False,post
2026-07-08 07:38:34+00:00,KXBTC15M-26JUL080345-45,62772.82,62767.92,0.395,6.4,0.259233,0.0,2026-07-08 07:33:28.878516+00:00,1.1890766827045018,0.5,0.7211615659714569,0.27883843402854314,0.32616156597145685,-0.32616156597145685,yes,0.32616156597145685,0.0,0.395,True,post
2026-07-04 14:24:12+00:00,KXBTC15M-26JUL041030-30,62625.88,62617.0,0.415,5.8,0.295315,0.0,2026-07-04 14:19:09.187948+00:00,1.428838736649467,0.5,0.7403905766061343,0.2596094233938657,0.3253905766061343,-0.32539057660613424,yes,0.3253905766061343,0.0,0.415,False,post
2026-07-06 21:42:53+00:00,KXBTC15M-26JUL061745-45,64154.7,64192.05,0.096,2.1,0.727046,0.0,2026-07-06 21:32:44.693824+00:00,1.4837047226976854,0.5,0.40951525431550706,0.5904847456844929,0.3135152543155071,-0.3135152543155071,yes,0.3135152543155071,0.0,0.096,False,post
2026-07-05 16:25:21+00:00,KXBTC15M-26JUL051230-30,62655.06,62668.14,0.195,4.7,0.252087,0.0,2026-07-05 16:20:15.711349+00:00,0.5573484296733634,0.5,0.5019857876956186,0.49801421230438137,0.30698578769561863,-0.3069857876956186,yes,0.30698578769561863,0.0,0.195,True,post
2026-07-04 11:11:20+00:00,KXBTC15M-26JUL040715-15,62468.46,62471.4,0.275,3.7,0.10697,0.0,2026-07-04 11:06:15.992628+00:00,1.9727276823547413,0.5,0.5742927063596145,0.4257072936403855,0.29929270635961447,-0.29929270635961447,yes,0.29929270635961447,0.0,0.275,False,post
2026-07-08 11:32:49+00:00,KXBTC15M-26JUL080745-45,62066.38,62047.28,0.495,12.2,0.20409,1.0,2026-07-08 11:27:38.199736+00:00,1.1212243851725643,0.5,0.7918962360284167,0.20810376397158326,0.29689623602841675,-0.29689623602841675,yes,0.29689623602841675,1.0,0.495,False,post
2026-07-03 14:38:42+00:00,KXBTC15M-26JUL031045-45,61855.16,61862.55,0.355,6.3,0.619956,1.0,2026-07-03 14:33:39.578354+00:00,0.786994598660708,0.5,0.6463792755648523,0.3536207244351477,0.2913792755648523,-0.2913792755648523,yes,0.2913792755648523,1.0,0.355,False,post
2026-07-10 10:48:38+00:00,KXBTC15M-26JUL100700-00,64424.83,64411.61,0.475,11.4,0.206327,0.0,2026-07-10 10:33:26.997001+00:00,1.160828770051019,0.5,0.7622536982915411,0.2377463017084589,0.2872536982915411,-0.2872536982915411,yes,0.2872536982915411,0.0,0.475,False,post
2026-05-26 10:52:01+00:00,KXBTC15M-26MAY260700-00,77409.87,77413.54,0.385,8.0,0.563867,0.0,2026-05-26 10:46:57.964060+00:00,2.726119801368927,0.5,0.6721435683647128,0.3278564316352872,0.2871435683647128,-0.2871435683647128,yes,0.2871435683647128,0.0,0.385,False,pre
2026-07-05 14:53:39+00:00,KXBTC15M-26JUL051100-00,62680.72,62698.84,0.185,6.4,0.242178,1.0,2026-07-05 14:48:34.606059+00:00,1.3780661808751193,0.5,0.47131567437457905,0.528684325625421,0.28631567437457905,-0.28631567437457894,yes,0.28631567437457905,1.0,0.185,False,post
2026-07-06 16:53:09+00:00,KXBTC15M-26JUL061300-00,63689.61,63684.85,0.415,6.8,0.847341,0.0,2026-07-06 16:48:04.511549+00:00,0.6605370264500545,0.5,0.7000425079454644,0.2999574920545356,0.28504250794546443,-0.2850425079454644,yes,0.28504250794546443,0.0,0.415,False,post
2026-07-04 10:51:00+00:00,KXBTC15M-26JUL040700-00,62433.89,62431.55,0.45,9.0,0.086571,1.0,2026-07-04 10:40:51.970454+00:00,1.8204272244096709,0.5,0.7272860738509226,0.2727139261490774,0.2772860738509226,-0.27728607385092263,yes,0.2772860738509226,1.0,0.45,False,post
2026-07-09 03:19:25+00:00,KXBTC15M-26JUL082330-30,61760.83,61799.99,0.145,10.6,0.330268,1.0,2026-07-09 03:09:13.286968+00:00,0.6370432113502552,0.5,0.4216370629070773,0.5783629370929226,0.27663706290707735,-0.27663706290707735,yes,0.27663706290707735,1.0,0.145,True,post
2026-07-09 13:39:15+00:00,KXBTC15M-26JUL090945-45,62676.5,62653.31,0.475,5.7,0.568683,1.0,2026-07-09 13:34:10.515251+00:00,0.4778806216135203,0.4778806216135203,0.7503161333568305,0.24968386664316955,0.2753161333568305,-0.2753161333568305,yes,0.2753161333568305,1.0,0.475,False,post
2026-07-03 03:05:05+00:00,KXBTC15M-26JUL022315-15,61366.05,61364.73,0.425,9.9,0.303705,0.0,2026-07-03 02:49:47.999063+00:00,0.5559738277737102,0.5,0.6971843830986502,0.30281561690134984,0.2721843830986502,-0.2721843830986501,yes,0.2721843830986502,0.0,0.425,True,post
2026-05-26 10:31:47+00:00,KXBTC15M-26MAY260645-45,77130.52,77127.69,0.425,13.2,0.472709,1.0,2026-05-26 10:16:31.376834+00:00,3.001021759221442,0.5,0.6968942182562299,0.3031057817437701,0.2718942182562299,-0.27189421825622984,yes,0.2718942182562299,1.0,0.425,False,pre
2026-07-05 14:23:07+00:00,KXBTC15M-26JUL051030-30,62659.41,62686.06,0.185,6.9,0.303334,0.0,2026-07-05 14:18:03.642772+00:00,1.4979717915091815,0.5,0.4547714383404716,0.5452285616595284,0.2697714383404716,-0.26977143834047157,yes,0.2697714383404716,0.0,0.185,False,post
2026-07-04 14:49:37+00:00,KXBTC15M-26JUL041100-00,62627.98,62640.68,0.315,10.4,0.275419,1.0,2026-07-04 14:39:26.270681+00:00,1.207226026524766,0.5,0.583681930684756,0.41631806931524395,0.26868193068475604,-0.2686819306847561,yes,0.26868193068475604,1.0,0.315,False,post
2026-07-07 20:32:31+00:00,KXBTC15M-26JUL071645-45,63674.59,63699.12,0.295,12.5,0.391398,0.0,2026-07-07 20:17:19.023078+00:00,0.7504356071297498,0.5,0.5635410270032447,0.4364589729967553,0.2685410270032447,-0.2685410270032448,yes,0.2685410270032447,0.0,0.295,True,post
2026-07-04 01:26:30+00:00,KXBTC15M-26JUL032130-30,62432.13,62462.17,0.0985,3.5,0.446338,0.0,2026-07-04 01:21:26.516947+00:00,0.40344868024316677,0.40344868024316677,0.3662503607292512,0.6337496392707488,0.2677503607292512,-0.2677503607292512,yes,0.2677503607292512,0.0,0.0985,True,post
2026-07-05 17:21:25+00:00,KXBTC15M-26JUL051330-30,62649.94,62649.8,0.425,8.6,0.189186,0.0,2026-07-05 17:16:21.282747+00:00,0.8472710317237296,0.5,0.6924897746691046,0.30751022533089545,0.26748977466910456,-0.2674897746691045,yes,0.26748977466910456,0.0,0.425,False,post
