logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,decision_time,z_drift_raw,zd,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,touched,era
2026-07-03 12:52:05+00:00,KXBTC15M-26JUL030900-00,61904.88,61861.7,0.705,7.9,0.245466,1.0,2026-07-03 12:47:02.388581+00:00,1.4081952242556182,0.1,0.7561421702171287,0.2438578297828713,0.051142170217128746,-0.051142170217128746,yes,0.051142170217128746,1.0,0.705,False,post
2026-07-05 03:52:54+00:00,KXBTC15M-26JUL050000-00,62722.29,62681.1,0.785,7.1,0.160708,1.0,2026-07-05 03:47:52.416647+00:00,1.1124034013915955,0.1,0.8360822536682075,0.16391774633179246,0.05108225366820751,-0.05108225366820751,yes,0.05108225366820751,1.0,0.785,False,post
2026-07-04 10:20:31+00:00,KXBTC15M-26JUL040630-30,62428.4,62419.27,0.545,9.5,0.122268,1.0,2026-07-04 10:10:21.147679+00:00,1.4031985080611977,0.1,0.5959880320464916,0.40401196795350836,0.050988032046491605,-0.050988032046491605,yes,0.050988032046491605,1.0,0.545,False,post
2026-06-02 08:04:48+00:00,KXBTC15M-26JUN020415-15,69936.18,70026.42,0.205,10.2,0.446179,0.0,2026-06-02 07:54:40.923667+00:00,0.7028241225096568,0.1,0.25585377102340745,0.7441462289765925,0.05085377102340746,-0.05085377102340749,yes,0.05085377102340746,0.0,0.205,True,pre
2026-07-06 18:34:43+00:00,KXBTC15M-26JUL061445-45,63697.38,63718.55,0.415,10.3,0.505509,1.0,2026-07-06 18:24:36.026374+00:00,0.23711519825610855,0.1,0.4658447026564594,0.5341552973435406,0.050844702656459406,-0.05084470265645935,yes,0.050844702656459406,1.0,0.415,True,post
2026-05-26 20:08:45+00:00,KXBTC15M-26MAY261615-15,75967.15,75916.29,0.916,6.2,0.292237,1.0,2026-05-26 20:03:42.792352+00:00,0.936358462145498,0.1,0.8652049612384659,0.1347950387615341,-0.05079503876153413,0.05079503876153413,no,0.05079503876153413,0.0,0.08399999999999996,True,pre
2026-06-01 19:05:45+00:00,KXBTC15M-26JUN011515-15,71377.15,71421.3,0.285,9.2,0.322306,0.0,2026-06-01 18:55:16.169326+00:00,0.8995530285590074,0.1,0.33569407093354947,0.6643059290664506,0.050694070933549495,-0.050694070933549495,yes,0.050694070933549495,0.0,0.285,False,pre
2026-07-04 13:33:28+00:00,KXBTC15M-26JUL040945-45,62555.92,62600.66,0.245,11.5,0.273892,0.0,2026-07-04 13:18:15.145783+00:00,2.1868345670132445,0.1,0.2954844423766825,0.7045155576233175,0.05048444237668248,-0.05048444237668248,yes,0.05048444237668248,0.0,0.245,True,post
2026-07-08 09:50:59+00:00,KXBTC15M-26JUL080600-00,62000.68,62066.27,0.215,9.0,0.403003,0.0,2026-07-08 09:40:47.762396+00:00,0.3975699783386229,0.1,0.265353214189186,0.734646785810814,0.05035321418918601,-0.050353214189186035,yes,0.05035321418918601,0.0,0.215,True,post
2026-07-05 18:02:12+00:00,KXBTC15M-26JUL051415-15,62568.63,62578.85,0.415,12.8,0.218595,1.0,2026-07-05 17:57:05.741327+00:00,0.6352258706270457,0.1,0.46521798921598917,0.5347820107840109,0.05021798921598919,-0.05021798921598908,yes,0.05021798921598919,1.0,0.415,False,post
2026-07-06 14:41:00+00:00,KXBTC15M-26JUL061045-45,62095.08,62064.4,0.575,4.0,1.397211,0.0,2026-07-06 14:35:55.790781+00:00,-0.14487466806431348,-0.1,0.52478201818435,0.47521798181565,-0.05021798181564996,0.05021798181564996,no,0.05021798181564996,1.0,0.42500000000000004,True,post
2026-07-04 12:52:50+00:00,KXBTC15M-26JUL040900-00,62544.58,62564.07,0.255,7.2,0.157209,1.0,2026-07-04 12:47:47.366789+00:00,2.355986143582025,0.1,0.30513881488482464,0.6948611851151754,0.050138814884824634,-0.050138814884824634,yes,0.050138814884824634,1.0,0.255,False,post
2026-07-06 02:34:35+00:00,KXBTC15M-26JUL052245-45,63453.27,63479.67,0.385,10.4,0.419995,0.0,2026-07-06 02:19:21.477727+00:00,0.3808322147521869,0.1,0.43506421625468916,0.5649357837453108,0.05006421625468915,-0.05006421625468915,yes,0.05006421625468915,0.0,0.385,True,post
2026-07-04 11:21:29+00:00,KXBTC15M-26JUL040730-30,62454.78,62452.53,0.655,8.5,0.11225,0.0,2026-07-04 11:16:26.005637+00:00,1.8331379558702723,0.1,0.6049761251543999,0.3950238748456001,-0.050023874845600114,0.050023874845600114,no,0.050023874845600114,1.0,0.345,True,post
2026-06-01 20:48:01+00:00,KXBTC15M-26JUN011700-00,71489.4,71516.29,0.355,12.0,0.267389,0.0,2026-06-01 20:42:58.245093+00:00,1.6030709584209122,0.1,0.404980292988539,0.595019707011461,0.04998029298853901,-0.04998029298853901,yes,0.04998029298853901,0.0,0.355,True,pre
2026-06-02 07:24:22+00:00,KXBTC15M-26JUN020330-30,69994.86,69963.67,0.545,5.6,0.538502,0.0,2026-06-02 07:19:20.624328+00:00,0.7277757939776868,0.1,0.5949284688910532,0.4050715311089468,0.04992846889105318,-0.04992846889105318,yes,0.04992846889105318,0.0,0.545,True,pre
2026-07-05 13:52:40+00:00,KXBTC15M-26JUL051000-00,62724.17,62694.24,0.655,7.3,0.237948,1.0,2026-07-05 13:47:35.615855+00:00,1.115482252851163,0.1,0.7049202219184182,0.2950797780815818,0.04992022191841816,-0.04992022191841816,yes,0.04992022191841816,1.0,0.655,False,post
2026-07-02 09:54:26+00:00,KXBTC15M-26JUL020600-00,61177.19,61005.92,0.825,5.6,0.63076,1.0,2026-07-02 09:49:21.386668+00:00,1.500484967943776,0.1,0.8748939683206964,0.12510603167930356,0.04989396832069648,-0.04989396832069648,yes,0.04989396832069648,1.0,0.825,False,post
2026-07-03 06:06:02+00:00,KXBTC15M-26JUL030215-15,61748.38,61636.41,0.875,9.0,0.228087,1.0,2026-07-03 05:50:50.396155+00:00,1.5735927772106937,0.1,0.9248667355502015,0.07513326444979851,0.04986673555020149,-0.04986673555020149,yes,0.04986673555020149,1.0,0.875,False,post
2026-06-02 01:04:23+00:00,KXBTC15M-26JUN012115-15,71201.24,71183.19,0.535,10.6,0.221917,1.0,2026-06-02 00:54:16.729410+00:00,0.9709137388989036,0.1,0.5847101131949576,0.4152898868050424,0.04971011319495755,-0.04971011319495755,yes,0.04971011319495755,1.0,0.535,False,pre
2026-07-03 11:05:33+00:00,KXBTC15M-26JUL030715-15,61927.14,61859.39,0.775,9.4,0.251357,1.0,2026-07-03 10:55:24.168113+00:00,2.5984912316846756,0.1,0.8246156561101662,0.17538434388983382,0.04961565611016616,-0.04961565611016616,yes,0.04961565611016616,1.0,0.775,False,post
2026-07-01 20:22:51+00:00,KXBTC15M-26JUL011630-30,59904.66,59954.61,0.235,7.1,0.385117,0.0,2026-07-01 20:17:47.985328+00:00,0.5145290462076764,0.1,0.2845713354458844,0.7154286645541156,0.049571335445884435,-0.049571335445884435,yes,0.049571335445884435,0.0,0.235,False,post
2026-07-03 09:49:26+00:00,KXBTC15M-26JUL030600-00,61670.23,61594.19,0.825,10.6,0.203228,1.0,2026-07-03 09:39:16.015728+00:00,1.9195596625744544,0.1,0.8744702962856623,0.1255297037143377,0.04947029628566235,-0.04947029628566235,yes,0.04947029628566235,1.0,0.825,False,post
2026-05-26 11:02:08+00:00,KXBTC15M-26MAY260715-15,77360.11,77362.39,0.585,12.9,0.564974,0.0,2026-05-26 10:57:03.432731+00:00,2.72950366917209,0.1,0.5356459245517621,0.4643540754482379,-0.04935407544823789,0.04935407544823789,no,0.04935407544823789,1.0,0.41500000000000004,True,pre
2026-05-26 09:56:19+00:00,KXBTC15M-26MAY260600-00,76596.7,76613.38,0.215,3.7,0.128031,0.0,2026-05-26 09:46:12.252190+00:00,1.407129604189695,0.1,0.26431172610655373,0.7356882738934463,0.04931172610655374,-0.049311726106553766,yes,0.04931172610655374,0.0,0.215,False,pre
2026-07-10 12:35:06+00:00,KXBTC15M-26JUL100845-45,64414.95,64456.62,0.295,9.9,0.336186,0.0,2026-07-10 12:24:58.989147+00:00,1.067196816368857,0.1,0.3442061651324497,0.6557938348675503,0.04920616513244974,-0.0492061651324498,yes,0.04920616513244974,0.0,0.295,True,post
2026-07-09 01:52:57+00:00,KXBTC15M-26JUL082200-00,61892.83,62061.65,0.0725,7.0,0.732628,0.0,2026-07-09 01:47:53.930396+00:00,0.270669126069919,0.1,0.12169268892408464,0.8783073110759154,0.04919268892408464,-0.04919268892408457,yes,0.04919268892408464,0.0,0.0725,True,post
2026-07-08 05:21:21+00:00,KXBTC15M-26JUL080130-30,62771.36,62756.09,0.535,8.6,0.259484,0.0,2026-07-08 05:16:16.274111+00:00,0.7395752158933889,0.1,0.5840405611594367,0.4159594388405633,0.04904056115943667,-0.04904056115943667,yes,0.04904056115943667,0.0,0.535,True,post
2026-06-02 11:16:51+00:00,KXBTC15M-26JUN020730-30,69395.55,69454.51,0.285,13.1,0.362922,0.0,2026-06-02 11:11:47.321676+00:00,1.3617057755365036,0.1,0.3340233279715974,0.6659766720284026,0.04902332797159742,-0.049023327971597475,yes,0.04902332797159742,0.0,0.285,False,pre
2026-07-05 19:23:38+00:00,KXBTC15M-26JUL051530-30,62739.86,62797.31,0.054,6.4,0.246027,0.0,2026-07-05 19:18:33.616708+00:00,1.2055442095046525,0.1,0.10297344567799904,0.897026554322001,0.04897344567799904,-0.048973445677998995,yes,0.04897344567799904,0.0,0.054,True,post
2026-07-07 06:05:39+00:00,KXBTC15M-26JUL070215-15,63037.64,63093.02,0.275,9.3,0.267055,0.0,2026-07-07 05:55:31.244941+00:00,-0.3208591126798361,-0.1,0.22620238570168721,0.7737976142983127,-0.04879761429831281,0.04879761429831275,no,0.04879761429831275,1.0,0.725,True,post
2026-06-01 22:35:28+00:00,KXBTC15M-26JUN011845-45,71122.29,71201.06,0.215,9.5,0.403239,0.0,2026-06-01 22:24:05.298910+00:00,0.884381059481621,0.1,0.2636182483972649,0.7363817516027351,0.04861824839726489,-0.04861824839726492,yes,0.04861824839726489,0.0,0.215,True,pre
2026-07-06 03:05:02+00:00,KXBTC15M-26JUL052315-15,63411.76,63419.2,0.445,10.0,0.301108,0.0,2026-07-06 02:54:52.940903+00:00,0.2897538950450489,0.1,0.49360259534035916,0.5063974046596409,0.048602595340359156,-0.048602595340359045,yes,0.048602595340359156,0.0,0.445,True,post
2026-07-05 07:06:12+00:00,KXBTC15M-26JUL050315-15,62737.97,62728.74,0.525,8.8,0.140198,0.0,2026-07-05 07:02:26.095086+00:00,1.7344302894501862,0.1,0.5734831033423619,0.42651689665763814,0.04848310334236183,-0.04848310334236183,yes,0.04848310334236183,0.0,0.525,False,post
2026-05-27 04:11:33+00:00,KXBTC15M-26MAY270015-15,75571.86,75549.4,0.875,3.4,0.208302,0.0,2026-05-27 04:06:29.898379+00:00,1.4720513593875242,0.1,0.8266829539668445,0.17331704603315545,-0.04831704603315545,0.04831704603315545,no,0.04831704603315545,1.0,0.125,True,pre
2026-06-02 11:37:03+00:00,KXBTC15M-26JUN020745-45,69348.69,69387.43,0.225,7.9,0.231338,1.0,2026-06-02 11:32:01.337355+00:00,1.425312463071329,0.1,0.27326462090750353,0.7267353790924964,0.048264620907503525,-0.04826462090750361,yes,0.048264620907503525,1.0,0.225,False,pre
2026-07-09 21:03:02+00:00,KXBTC15M-26JUL091715-15,63324.89,63263.4,0.735,12.0,0.249058,1.0,2026-07-09 20:57:55.895486+00:00,1.1395195928023343,0.1,0.783237182653167,0.216762817346833,0.04823718265316701,-0.04823718265316701,yes,0.04823718265316701,1.0,0.735,False,post
2026-06-02 10:31:22+00:00,KXBTC15M-26JUN020645-45,69535.02,69539.97,0.465,13.6,0.300391,0.0,2026-06-02 10:26:17.114843+00:00,1.658269645173165,0.1,0.5131393970039805,0.4868606029960195,0.048139397003980455,-0.0481393970039804,yes,0.048139397003980455,0.0,0.465,True,pre
2026-07-10 05:52:39+00:00,KXBTC15M-26JUL100200-00,64116.85,64138.25,0.325,7.3,0.237337,0.0,2026-07-10 05:47:36.457475+00:00,0.7631443694986964,0.1,0.37308175251253184,0.6269182474874682,0.04808175251253183,-0.04808175251253188,yes,0.04808175251253183,0.0,0.325,True,post
2026-07-02 11:26:02+00:00,KXBTC15M-26JUL020730-30,61238.34,61219.17,0.605,4.0,0.313914,1.0,2026-07-02 11:20:57.529261+00:00,0.9368764465809167,0.1,0.6529711359692097,0.34702886403079025,0.047971135969209766,-0.047971135969209766,yes,0.047971135969209766,1.0,0.605,False,post
2026-07-06 09:31:24+00:00,KXBTC15M-26JUL060545-45,62638.85,62689.04,0.185,13.6,0.216173,0.0,2026-07-06 09:26:19.016564+00:00,1.3014318408280907,0.1,0.2328559721354782,0.7671440278645218,0.04785597213547821,-0.0478559721354781,yes,0.04785597213547821,0.0,0.185,True,post
2026-07-07 10:55:28+00:00,KXBTC15M-26JUL070700-00,63204.94,63236.53,0.125,4.5,0.191982,0.0,2026-07-07 10:50:24.658914+00:00,1.1543378756316942,0.1,0.17277029306201547,0.8272297069379846,0.04777029306201547,-0.04777029306201541,yes,0.04777029306201547,0.0,0.125,False,post
2026-05-26 07:39:55+00:00,KXBTC15M-26MAY260345-45,76547.95,76610.87,0.0745,5.1,0.256741,0.0,2026-05-26 07:34:51.961242+00:00,1.3589401150798306,0.1,0.12220113592576526,0.8777988640742347,0.04770113592576526,-0.0477011359257653,yes,0.04770113592576526,0.0,0.0745,False,pre
2026-07-06 21:48:00+00:00,KXBTC15M-26JUL061800-00,64156.31,64160.27,0.58,12.0,0.687798,1.0,2026-07-06 21:32:44.693824+00:00,1.4837047226976854,0.1,0.532366107946673,0.46763389205332695,-0.04763389205332691,0.04763389205332691,no,0.04763389205332691,0.0,0.42000000000000004,True,post
2026-06-02 05:33:13+00:00,KXBTC15M-26JUN020145-45,70590.67,70501.32,0.755,11.8,0.297737,0.0,2026-06-02 05:23:07.612933+00:00,0.7230776734653381,0.1,0.8026318372419206,0.19736816275807945,0.04763183724192055,-0.04763183724192055,yes,0.04763183724192055,0.0,0.755,True,pre
2026-07-09 14:19:56+00:00,KXBTC15M-26JUL091030-30,62671.42,62890.92,0.105,10.1,0.843595,0.0,2026-07-09 14:09:47.833038+00:00,0.6651708176401445,0.1,0.15262969560936596,0.847370304390634,0.04762969560936596,-0.04762969560936603,yes,0.04762969560936596,0.0,0.105,True,post
