decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac
2026-07-01 05:20:39.537889+00:00,KXBTC15M-26JUL010130-30,0.0,-74.02,-0.10250853939404998,-0.10250853939404998,True,0.0005331265444927734,6,9,0.2222222222222222
2026-07-01 07:17:26.180040+00:00,KXBTC15M-26JUL010330-30,1.0,35.38,0.0643290615380093,0.02264963203825979,False,0.0005334691369050931,6,13,0.3076923076923077
2026-07-01 08:53:49.550302+00:00,KXBTC15M-26JUL010500-00,1.0,17.65,0.332518242170359,0.09794921792011535,False,0.0007527999208436513,3,7,0.5714285714285714
2026-07-01 09:09:04.983994+00:00,KXBTC15M-26JUL010515-15,0.0,-77.29,0.07845938853919347,0.034782886799339066,False,0.0002922924868120989,3,6,0.16666666666666666
2026-07-01 13:07:31.402506+00:00,KXBTC15M-26JUL010915-15,1.0,12.96,0.2029370520426426,0.10808917748813258,False,0.00026641424864735474,5,8,0.25
2026-07-01 13:17:40.834735+00:00,KXBTC15M-26JUL010930-30,1.0,26.1,0.10693549733828468,-0.03896971789086536,False,0.001042308661414985,5,13,0.23076923076923078
2026-07-01 13:48:05.224548+00:00,KXBTC15M-26JUL011000-00,1.0,18.15,0.43925795690143093,0.30666488825219823,False,0.0007822322824813607,9,12,0.5
2026-07-01 14:18:32.749023+00:00,KXBTC15M-26JUL011030-30,0.0,-59.45,-0.43633993534438387,-0.43633993534438387,True,0.0006708002169878697,9,12,0.5
2026-07-01 14:54:02.490548+00:00,KXBTC15M-26JUL011100-00,0.0,-72.45,-0.2978111390595511,-0.2978111390595511,True,0.00047722832341177366,4,6,0.6666666666666666
2026-07-01 17:40:51.915656+00:00,KXBTC15M-26JUL011345-45,1.0,12.32,0.05226760384686414,0.010668069288133445,False,0.00026039693098115933,5,5,0.4
2026-07-01 17:56:03.879306+00:00,KXBTC15M-26JUL011400-00,1.0,15.54,0.060791789831499445,0.060791789831499445,False,0.00015388127521551607,3,4,0.0
2026-07-01 18:21:23.575324+00:00,KXBTC15M-26JUL011430-30,1.0,32.18,0.0597994405089054,0.05698623437647571,False,0.00038414204239218814,7,9,0.2222222222222222
2026-07-01 18:36:33.894226+00:00,KXBTC15M-26JUL011445-45,1.0,13.49,0.10312515390534815,0.10312515390534815,False,6.316770634597317e-05,4,9,0.0
2026-07-01 18:51:47.111949+00:00,KXBTC15M-26JUL011500-00,0.0,-65.56,-0.031305456826100954,-0.12032610698636664,True,0.0005578743647335392,6,9,0.3333333333333333
2026-07-01 19:01:54.526898+00:00,KXBTC15M-26JUL011515-15,1.0,38.32,0.2531852899423334,0.1535348460076697,False,0.0002169226045414482,10,13,0.46153846153846156
2026-07-01 19:17:04.860595+00:00,KXBTC15M-26JUL011530-30,0.0,-76.95,-0.15014359787563109,-0.15014359787563109,True,0.0002961633629757187,5,13,0.3076923076923077
2026-07-01 19:32:14.696304+00:00,KXBTC15M-26JUL011545-45,1.0,24.48,0.06565055819200893,0.057570735032138186,False,0.0002236286712643921,10,13,0.15384615384615385
2026-07-01 20:48:09.218809+00:00,KXBTC15M-26JUL011700-00,1.0,38.63,0.2305070350623814,0.18262483693615666,False,0.00034092314616154714,9,12,0.25
2026-07-01 21:03:22.769130+00:00,KXBTC15M-26JUL011715-15,1.0,51.76,0.5030415876338539,0.09380342460599174,False,0.0009013238319337118,9,11,0.45454545454545453
2026-07-01 21:18:32.520204+00:00,KXBTC15M-26JUL011730-30,1.0,45.36,0.37081767332702686,0.019575409787284566,False,0.001065356810767865,11,12,0.5
2026-07-01 21:33:43.601352+00:00,KXBTC15M-26JUL011745-45,1.0,17.76,0.3298739281366832,0.08693550608486392,False,0.00042868393542272465,7,12,0.5
2026-07-02 01:31:47.152848+00:00,KXBTC15M-26JUL012145-45,1.0,12.63,0.1739616643657007,0.05201584813019764,False,0.0006716369608670965,10,14,0.35714285714285715
2026-07-02 05:10:06.883018+00:00,KXBTC15M-26JUL020115-15,1.0,33.0,0.016934757052358453,0.016934757052358453,False,0.000575291205627026,4,5,0.2
2026-07-02 05:35:30.314669+00:00,KXBTC15M-26JUL020145-45,0.0,-77.77,-0.195471528259194,-0.195471528259194,True,0.0007021926812080027,7,10,0.5
2026-07-02 06:21:10.931777+00:00,KXBTC15M-26JUL020230-30,1.0,17.36,0.11216737626003599,0.08841863445307091,False,0.0003709545235684162,5,9,0.2222222222222222
2026-07-02 06:31:22.448911+00:00,KXBTC15M-26JUL020245-45,1.0,23.85,-0.008021958104701774,-0.008021958104701774,False,0.0006093395542532602,10,14,0.35714285714285715
