effective,trend,rev,p_pooled,p_rc,p_bull,p_sdwy,p_bear
2026-01-01 00:00:00+00:00,-1.0,0.0,0.49305169538632576,0.46932335147839527,0.9999985723219668,2.2980892696596475e-07,1.1978691052758092e-06
2026-01-01 00:15:00+00:00,3.0,-1.0,0.4350070389488503,0.41145622080270894,0.9999985723219668,2.2980892696596475e-07,1.1978691052758092e-06
2026-01-01 00:30:00+00:00,1.0,-1.0,0.4862047823421214,0.47345646826513443,0.9999985723219668,2.2980892696596475e-07,1.1978691052758092e-06
2026-01-01 00:45:00+00:00,4.0,-2.0,0.44770642201834865,0.43825704969169316,0.9999985723219668,2.2980892696596475e-07,1.1978691052758092e-06
2026-01-01 01:00:00+00:00,3.0,-1.0,0.4350070389488503,0.41145649235444154,0.999989960322373,3.857170217682919e-07,9.653960603809124e-06
2026-01-01 01:15:00+00:00,6.0,-1.0,0.42933884297520664,0.40525353486617016,0.999989960322373,3.857170217682919e-07,9.653960603809124e-06
2026-01-01 01:30:00+00:00,4.0,-1.0,0.4189189189189189,0.40746877750932414,0.999989960322373,3.857170217682919e-07,9.653960603809124e-06
2026-01-01 01:45:00+00:00,-2.0,0.0,0.5398809523809524,0.5453079526847101,0.999989960322373,3.857170217682919e-07,9.653960603809124e-06
2026-01-01 02:00:00+00:00,2.0,0.0,0.455456570155902,0.4189717357575407,0.999999778373233,1.4980045472055357e-07,7.182630942636439e-08
2026-01-01 02:15:00+00:00,5.0,0.0,0.43911917098445596,0.42717756004582913,0.999999778373233,1.4980045472055357e-07,7.182630942636439e-08
2026-01-01 02:30:00+00:00,6.0,0.0,0.40702781844802344,0.41294947740978527,0.999999778373233,1.4980045472055357e-07,7.182630942636439e-08
2026-01-01 02:45:00+00:00,4.0,-1.0,0.4189189189189189,0.4074686386688874,0.999999778373233,1.4980045472055357e-07,7.182630942636439e-08
2026-01-01 03:00:00+00:00,-3.0,0.0,0.5505163897620117,0.5572904741443803,0.9999997973572184,1.5169187838096597e-07,5.095090185848364e-08
2026-01-01 03:15:00+00:00,3.0,-1.0,0.4350070389488503,0.4114561807612171,0.9999997973572184,1.5169187838096597e-07,5.095090185848364e-08
