logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-07 14:08:41+00:00,KXBTC15M-26JUL071015-15,62972.08,63000.21,0.375,6.3,0.893308,0.0,2026-07-07 14:08:24+00:00,0.5496,0.41924115846882304,0.583912723130239,0.04424115846882304,-0.04108727686976099,yes,0.04424115846882304,0.0,0.375,2026-07-07
2026-07-02 02:02:14+00:00,KXBTC15M-26JUL012215-15,60067.34,60104.58,0.355,12.8,0.513298,0.0,2026-07-02 02:01:48+00:00,0.6009,0.3991406780668192,0.6099506604510666,0.044140678066819206,-0.03504933954893341,yes,0.044140678066819206,0.0,0.355,2026-07-02
2026-07-06 16:12:32+00:00,KXBTC15M-26JUL061215-15,63640.67,63474.04,0.988,2.5,1.162129,1.0,2026-07-06 15:40:58+00:00,0.4541,0.9434965184069968,0.05597054156918069,-0.044503481593003213,0.04397054156918068,no,0.04397054156918068,0.0,0.01200000000000001,2026-07-06
2026-07-07 15:04:38+00:00,KXBTC15M-26JUL071115-15,63387.73,63526.37,0.22,10.4,1.055907,0.0,2026-07-07 14:35:12+00:00,0.4916,0.26380564021479497,0.7356210582304624,0.043805640214794966,-0.044378941769537605,yes,0.043805640214794966,0.0,0.22,2026-07-07
2026-07-03 09:49:26+00:00,KXBTC15M-26JUL030600-00,61670.23,61594.19,0.825,10.6,0.203228,1.0,2026-07-03 09:14:52+00:00,0.6358,0.868804674332079,0.1375117074480775,0.04380467433207902,-0.03748829255192254,yes,0.04380467433207902,1.0,0.825,2026-07-03
2026-07-10 05:17:07+00:00,KXBTC15M-26JUL100130-30,63931.87,63943.33,0.385,12.9,0.223796,0.0,2026-07-10 05:16:24+00:00,0.5819,0.4285957589901634,0.5789172039948505,0.04359575899016338,-0.03608279600514952,yes,0.04359575899016338,0.0,0.385,2026-07-10
2026-07-03 19:31:04+00:00,KXBTC15M-26JUL031545-45,62148.53,62174.21,0.305,13.9,0.230221,1.0,2026-07-03 18:51:43+00:00,0.5819,0.34851012952060867,0.6588215493690581,0.043510129520608676,-0.03617845063094194,yes,0.043510129520608676,1.0,0.305,2026-07-03
2026-07-09 12:33:11+00:00,KXBTC15M-26JUL090845-45,62642.99,62740.41,0.335,11.8,0.351416,0.0,2026-07-09 12:28:39+00:00,0.4336,0.28661368467399084,0.708316646933297,-0.04838631532600918,0.043316646933296954,no,0.043316646933296954,1.0,0.665,2026-07-09
2026-07-04 22:40:31+00:00,KXBTC15M-26JUL041845-45,63156.64,63158.17,0.535,4.5,0.18871,1.0,2026-07-04 22:18:38+00:00,0.6112,0.49792676959735976,0.5082444156006123,-0.03707323040264027,0.04324441560061232,no,0.04324441560061232,0.0,0.46499999999999997,2026-07-04
2026-07-06 10:17:05+00:00,KXBTC15M-26JUL060630-30,62795.52,62783.28,0.685,12.9,0.160946,1.0,2026-07-06 10:12:28+00:00,0.5105,0.6427045749996831,0.3582066843520687,-0.04229542500031691,0.04320668435206876,no,0.04320668435206876,0.0,0.31499999999999995,2026-07-06
2026-07-06 00:08:49+00:00,KXBTC15M-26JUL052015-15,63499.37,63576.4,0.145,6.2,0.464605,0.0,2026-07-06 00:03:34+00:00,0.6112,0.18811553445566093,0.8167425880581285,0.04311553445566094,-0.03825741194187149,yes,0.04311553445566094,0.0,0.145,2026-07-06
2026-07-04 06:46:37+00:00,KXBTC15M-26JUL040300-00,62409.43,62404.57,0.635,13.4,0.157503,1.0,2026-07-04 06:44:09+00:00,0.6358,0.6046049556037577,0.408088998017463,-0.0303950443962423,0.04308899801746302,no,0.04308899801746302,0.0,0.365,2026-07-04
2026-07-09 02:08:12+00:00,KXBTC15M-26JUL082215-15,61979.26,61860.02,0.9005,6.8,0.602699,1.0,2026-07-09 02:07:36+00:00,0.3472,0.851961829940713,0.1420087635712226,-0.048538170059286956,0.042508763571222574,no,0.042508763571222574,0.0,0.09950000000000003,2026-07-09
2026-07-04 04:54:58+00:00,KXBTC15M-26JUL040100-00,62628.38,62620.2,0.685,5.0,0.191772,0.0,2026-07-04 04:50:49+00:00,0.6112,0.6486118990763905,0.35745551941005227,-0.036388100923609557,0.04245551941005232,no,0.04245551941005232,1.0,0.31499999999999995,2026-07-04
2026-07-06 00:33:34+00:00,KXBTC15M-26JUL052045-45,63391.4,63392.26,0.555,11.4,0.451902,1.0,2026-07-06 00:32:00+00:00,0.6145,0.5227236255266605,0.4873891913862224,-0.03227637447333953,0.042389191386222436,no,0.042389191386222436,0.0,0.44499999999999995,2026-07-06
2026-07-09 12:53:30+00:00,KXBTC15M-26JUL090900-00,62608.92,62557.44,0.755,6.5,0.536541,1.0,2026-07-09 12:41:21+00:00,0.4509,0.7098503190081307,0.28737495071180885,-0.045149680991869334,0.042374950711808856,no,0.042374950711808856,0.0,0.245,2026-07-09
2026-07-05 06:47:08+00:00,KXBTC15M-26JUL050300-00,62706.66,62705.26,0.565,12.9,0.15046,1.0,2026-07-05 06:36:12+00:00,0.4797,0.5207624934743094,0.4773569381341677,-0.044237506525690584,0.04235693813416763,no,0.04235693813416763,0.0,0.43500000000000005,2026-07-05
2026-07-08 00:47:04+00:00,KXBTC15M-26JUL072100-00,63637.41,63682.89,0.255,12.9,0.362806,0.0,2026-07-08 00:06:54+00:00,0.5057,0.297271098887384,0.7031875352514587,0.04227109888738401,-0.04181246474854128,yes,0.04227109888738401,0.0,0.255,2026-07-08
2026-07-06 15:06:27+00:00,KXBTC15M-26JUL061115-15,62257.33,61980.12,0.962,8.5,1.081136,1.0,2026-07-06 15:01:37+00:00,0.4633,0.9187117673586518,0.08024979331307314,-0.04328823264134818,0.0422497933130731,no,0.0422497933130731,0.0,0.038000000000000034,2026-07-06
2026-07-02 20:19:42+00:00,KXBTC15M-26JUL021630-30,61386.23,61380.02,0.505,10.3,0.42988,0.0,2026-07-02 19:43:23+00:00,0.6869,0.5469724299385548,0.4690518218310359,0.04197242993855477,-0.02594817816896411,yes,0.04197242993855477,0.0,0.505,2026-07-02
2026-07-05 17:01:04+00:00,KXBTC15M-26JUL051315-15,62604.68,62594.9,0.615,13.9,0.223623,1.0,2026-07-05 16:16:42+00:00,0.4336,0.5667530848970775,0.42692415521733995,-0.04824691510292245,0.04192415521733994,no,0.04192415521733994,0.0,0.385,2026-07-05
2026-07-07 12:01:32+00:00,KXBTC15M-26JUL070815-15,63347.06,63341.49,0.575,13.5,0.338273,1.0,2026-07-07 12:01:29+00:00,0.4612,0.5296361101016349,0.46668866893519867,-0.04536388989836504,0.041688668935198625,no,0.041688668935198625,0.0,0.42500000000000004,2026-07-07
2026-07-06 13:40:07+00:00,KXBTC15M-26JUL060945-45,61432.4,61419.15,0.595,4.9,0.965219,1.0,2026-07-06 12:34:53+00:00,0.5042,0.5537325627086948,0.44650532068709625,-0.04126743729130522,0.041505320687096225,no,0.041505320687096225,0.0,0.405,2026-07-06
2026-07-06 10:01:53+00:00,KXBTC15M-26JUL060615-15,62685.8,62608.91,0.785,13.1,0.173683,1.0,2026-07-06 09:40:39+00:00,0.5102,0.8263329377563027,0.17428074834174012,0.041332937756302646,-0.04071925165825985,yes,0.041332937756302646,1.0,0.785,2026-07-06
2026-07-02 23:36:46+00:00,KXBTC15M-26JUL021945-45,61462.26,61438.28,0.515,8.2,0.230602,0.0,2026-07-02 23:00:54+00:00,0.6798,0.5562999166907312,0.45737234632574997,0.04129991669073119,-0.02762765367425002,yes,0.04129991669073119,0.0,0.515,2026-07-02
2026-07-02 22:20:20+00:00,KXBTC15M-26JUL021830-30,61472.07,61459.16,0.585,9.7,0.200009,1.0,2026-07-02 22:13:09+00:00,0.6863,0.6262111042715995,0.38866431610857555,0.041211104271599575,-0.02633568389142449,yes,0.041211104271599575,1.0,0.585,2026-07-02
2026-07-02 03:08:19+00:00,KXBTC15M-26JUL012315-15,60405.73,60379.7,0.725,6.7,0.327678,1.0,2026-07-02 02:55:52+00:00,0.4525,0.6811354396807213,0.3160217450889333,-0.043864560319278656,0.041021745088933304,no,0.041021745088933304,0.0,0.275,2026-07-02
2026-07-04 08:33:31+00:00,KXBTC15M-26JUL040445-45,62514.43,62506.92,0.695,11.5,0.109099,1.0,2026-07-04 08:08:45+00:00,0.6029,0.6624963632034861,0.3458883969966924,-0.0325036367965138,0.04088839699669233,no,0.04088839699669233,0.0,0.30500000000000005,2026-07-04
2026-07-04 09:19:23+00:00,KXBTC15M-26JUL040530-30,62447.13,62464.87,0.345,10.6,0.227317,0.0,2026-07-04 09:10:33+00:00,0.6029,0.385338067336243,0.6230189932780068,0.04033806733624301,-0.03198100672199322,yes,0.04033806733624301,0.0,0.345,2026-07-04
2026-07-04 16:07:46+00:00,KXBTC15M-26JUL041215-15,62843.19,62886.41,0.245,7.2,0.452144,0.0,2026-07-04 15:57:23+00:00,0.4778,0.2852893874942178,0.713398979062015,0.04028938749421779,-0.04160102093798501,yes,0.04028938749421779,0.0,0.245,2026-07-04
