logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,week,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,era
2026-07-09 21:31:01+00:00,KXBTC15M-26JUL091745-45,63209.19,63203.1,0.635,14.0,0.224894,0.0,2026-07-06/2026-07-12,2026-07-09 21:30:00+00:00,0.5741538461538461,0.5828149697472205,0.42424785881649396,-0.05218503025277954,0.05924785881649397,no,0.05924785881649397,1.0,0.365,07-01+ (s23 window)
2026-07-01 22:54:42+00:00,KXBTC15M-26JUL011900-00,60375.66,60423.84,0.245,5.3,0.651346,0.0,2026-06-29/2026-07-05,2026-07-01 22:45:00+00:00,0.5718540580789278,0.30366707701229556,0.7000857628243257,0.058667077012295565,-0.05491423717567434,yes,0.058667077012295565,0.0,0.245,07-01+ (s23 window)
2026-07-04 11:31:38+00:00,KXBTC15M-26JUL040745-45,62428.94,62424.01,0.665,13.4,0.118021,1.0,2026-06-29/2026-07-05,2026-07-04 11:30:00+00:00,0.5834564254062038,0.6140216841418916,0.3936194561051818,-0.050978315858108414,0.05861945610518182,no,0.05861945610518182,0.0,0.33499999999999996,07-01+ (s23 window)
2026-07-04 08:33:31+00:00,KXBTC15M-26JUL040445-45,62514.43,62506.92,0.695,11.5,0.109099,1.0,2026-06-29/2026-07-05,2026-07-04 08:30:00+00:00,0.4597701149425287,0.6330988988335834,0.36357589456320416,-0.06190110116641656,0.05857589456320411,no,0.05857589456320411,0.0,0.30500000000000005,07-01+ (s23 window)
2026-07-04 00:56:01+00:00,KXBTC15M-26JUL032100-00,62712.07,62662.66,0.9615,4.0,0.335394,1.0,2026-06-29/2026-07-05,2026-07-04 00:45:00+00:00,0.5741538461538461,0.9046948919650935,0.0969511152857484,-0.05680510803490657,0.05845111528574842,no,0.05845111528574842,0.0,0.03849999999999998,07-01+ (s23 window)
2026-05-24 11:27:43+00:00,KXBTC15M-26MAY240730-30,77209.98,77205.59,0.475,2.3,0.25967,0.0,2026-05-18/2026-05-24,2026-05-24 11:15:00+00:00,0.4151593453919035,0.5333515260130018,0.4633137701299508,0.058351526013001864,-0.061686229870049236,yes,0.058351526013001864,0.0,0.475,pre-07-01 (held-out)
2026-05-24 17:37:31+00:00,KXBTC15M-26MAY241345-45,76551.6,76533.25,0.765,7.5,0.163444,1.0,2026-05-18/2026-05-24,2026-05-24 17:30:00+00:00,0.4594703049759229,0.7044488894589899,0.293070891099684,-0.060551110541010145,0.058070891099684,no,0.058070891099684,0.0,0.235,pre-07-01 (held-out)
2026-07-02 15:40:07+00:00,KXBTC15M-26JUL021145-45,61606.84,61707.34,0.135,4.9,0.907652,0.0,2026-06-29/2026-07-05,2026-07-02 15:30:00+00:00,0.4355942750466708,0.1928297456638483,0.804622274647337,0.0578297456638483,-0.06037772535266295,yes,0.0578297456638483,0.0,0.135,07-01+ (s23 window)
2026-05-27 11:11:03+00:00,KXBTC15M-26MAY270715-15,75819.75,75816.74,0.635,4.0,0.13462,1.0,2026-05-25/2026-05-31,2026-05-27 11:00:00+00:00,0.5040756439517444,0.5773871667828901,0.4228193404994737,-0.05761283321710986,0.05781934049947368,no,0.05781934049947368,0.0,0.365,pre-07-01 (held-out)
2026-05-27 10:10:25+00:00,KXBTC15M-26MAY270615-15,75777.35,75805.3,0.205,4.6,0.058628,1.0,2026-05-25/2026-05-31,2026-05-27 10:00:00+00:00,0.5040756439517444,0.14748075232901936,0.8526496344245836,-0.05751924767098063,0.057649634424583596,no,0.057649634424583596,0.0,0.795,pre-07-01 (held-out)
