signal,bucket,n,delta_sum,P_wait_helps
sc_strength,Q2,170,131.87,0.569
stoch_4h,Q4,151,138.47000000000006,0.57
pv3_state,=neutral,532,207.7399999999999,0.574
bp_1h,Q1,99,180.21999999999997,0.576
body_15m,Q4,145,46.05000000000004,0.576
hmm_ps_state,=4.0,60,27.619999999999962,0.578
rvol20_4h,Q1,149,99.79999999999995,0.578
demand_pct,Q1,71,52.890000000000015,0.584
vwap_distance_pct,Q1,142,100.56999999999995,0.587
cg30_state,=8,86,176.14,0.59
adx_15m,Q1,148,172.24000000000012,0.59
smc_1h,=bullish,280,215.04999999999995,0.592
adx_15m,Q2,151,111.99999999999994,0.598
donch_4h,Q3,146,279.55999999999995,0.599
kelt_5m,Q2,150,206.47000000000003,0.606
sc_strength,Q1,122,91.36000000000004,0.61
vwap_stretch_score,Q3,268,211.40999999999997,0.611
ema_stack_bias,=0.0,186,144.77999999999997,0.615
bbw_4h,Q3,149,228.66000000000017,0.617
smc_4h,=bullish,270,283.9000000000001,0.618
chg_3h,Q2,98,137.17999999999995,0.619
vol_implied_kalshi,Q1,145,159.94999999999982,0.62
vol_eff,Q1,150,158.39000000000004,0.627
oi_chg_pct,Q1,143,224.33999999999992,0.628
kelt_15m,Q4,152,148.45000000000005,0.628
vwap_stretch_score,Q1,105,126.47999999999996,0.629
composite_p_up,Q2,157,164.54,0.629
donch_4h,Q2,148,133.4399999999999,0.63
stoch_15m,Q2,150,215.3499999999999,0.633
bp_5m,Q3,161,157.36999999999998,0.633
vol_ratio,Q4,145,128.4000000000001,0.634
vwap_signal,=0,213,255.9699999999999,0.635
vol_60m,Q3,150,293.57999999999987,0.643
donch_15m,Q2,150,175.48000000000002,0.649
vwap_total,Q1,108,129.61999999999995,0.65
rvol20_1h,Q3,149,225.11999999999995,0.651
markov_regime_7state,=Consolidation,77,76.92999999999995,0.651
hmm_gd_state,=1.0,77,76.92999999999995,0.651
hmm_vol_state,=0.0,77,76.92999999999995,0.651
markov_regime_daily,=Bull,77,76.92999999999995,0.651
vol_60m_model,Q1,150,155.5999999999999,0.652
rvol20_4h,Q3,149,167.52999999999992,0.654
side,=no,524,474.21,0.657
vwap_total,Q3,259,301.6900000000001,0.662
macdh_1h,Q3,150,194.49999999999997,0.662
pctb_15m,Q3,151,150.37999999999988,0.669
chg_2h,Q3,99,155.25000000000003,0.669
rsi_5m,Q3,150,201.05000000000004,0.67
pm_drift_5m,Q3,61,130.34999999999997,0.673
p_market,Q2,158,179.55,0.674
offset_pct,Q4,150,210.76,0.677
macdh_1h,Q2,148,300.06999999999994,0.677
cg30_state,=7,129,194.0599999999999,0.678
macdh_1h,Q4,151,285.93999999999994,0.681
stoch_1h,Q4,151,271.24,0.681
chg_5m_r,Q3,150,265.0100000000001,0.685
donch_15m,Q4,150,290.42,0.687
bbw_4h,Q1,148,315.13999999999993,0.689
z_score,Q3,150,203.62000000000003,0.694
kc_bo_1h,=0.0,76,90.43999999999998,0.698
sharp_move_active,=False,584,529.2600000000002,0.704
hour_utc,Q4,172,416.80000000000007,0.709
structure_bias,=0.0,246,489.34,0.713
bbw_15m,Q3,149,277.55999999999995,0.715
composite_p_up,Q4,151,376.1300000000001,0.718
rvol20_4h,Q4,151,364.16000000000014,0.718
macdh_1h,Q1,150,347.75000000000006,0.72
rsi_15m,Q4,150,327.40000000000003,0.724
chg_1h_r,Q2,150,452.34,0.727
kelt_1h,Q3,150,540.8,0.73
rvol20_5m,Q3,150,432.1200000000001,0.731
chg_5m_r,Q2,148,310.12999999999994,0.734
chg_10m,Q3,150,327.61999999999995,0.736
rvol20_1h,Q1,147,308.09999999999997,0.737
rvol20_15m,Q3,150,385.19999999999993,0.742
vpin_raw,Q2,149,463.11,0.744
vwap_distance_pct,Q2,142,476.9300000000002,0.746
macdh_15m,Q4,150,403.2099999999999,0.747
rvol20_5m,Q2,149,346.39,0.751
stoch_5m,Q1,150,535.66,0.753
p_market,Q4,150,413.56999999999994,0.755
chg_15m_r,Q1,150,449.63,0.756
rsi_4h,Q2,147,463.4700000000001,0.759
kelt_5m,Q1,149,347.53,0.769
stoch_crossover_active,=False,432,732.8199999999997,0.77
chg_4h_r,Q4,150,339.4699999999999,0.778
body_15m,Q2,144,498.67999999999984,0.782
p_up_v2,Q4,145,523.7500000000001,0.782
rvol20_1h,Q2,152,634.77,0.783
bbw_15m,Q2,150,572.0300000000001,0.785
donch_1h,Q4,150,514.3900000000001,0.785
chg_30m,Q3,150,404.39,0.785
vol_60m,Q1,150,366.3699999999999,0.786
offset_pct,Q2,149,512.8399999999999,0.793
rvol20_15m,Q1,149,362.21,0.798
offset_pct,Q1,150,554.47,0.8
z_score,Q1,150,556.9599999999999,0.802
vwap_total,Q4,232,696.95,0.803
smc_1h,=bearish,317,862.8100000000002,0.806
rvol20_4h,Q2,150,496.77000000000004,0.806
chg_5m_r,Q4,151,475.28999999999985,0.81
stoch_crossover_active,=True,167,395.44000000000005,0.81
bbw_1h,Q2,150,427.93,0.813
vol_ratio,Q3,145,633.7099999999999,0.815
adx_5m,Q1,148,723.3599999999999,0.816
chg_4h_r,Q2,150,448.00999999999993,0.822
body_15m,Q1,145,479.4999999999999,0.824
kelly_fraction,Q2,149,399.01,0.824
chg_2h,Q1,99,576.0000000000001,0.825
chg_1h,Q1,99,567.8199999999999,0.836
chg_1h_r,Q1,149,481.9,0.839
rsi_5m,Q1,149,470.67,0.839
adx_1h,Q2,149,591.2599999999999,0.84
ls_long_pct,Q2,142,756.8,0.845
macdh_5m,Q1,150,489.86,0.846
vwap_stretch_score,Q4,226,790.37,0.847
bp_1h,Q4,99,318.2900000000001,0.847
adx_5m,Q4,150,419.6,0.849
donch_5m,Q1,150,740.41,0.851
z_score,Q2,149,610.7399999999999,0.854
vol_implied_kalshi,Q3,145,646.6700000000001,0.855
in_demand_zone,=False,597,1077.8600000000001,0.856
vol_implied_kalshi,Q4,145,517.8199999999999,0.858
stoch_k,Q3,150,449.0700000000001,0.858
bp_5m,Q2,273,898.5699999999998,0.858
stoch_1h,Q3,149,745.6399999999999,0.859
smc_4h,=bearish,329,844.3599999999999,0.859
adx_1h,Q4,150,580.38,0.859
hour_utc,Q3,130,596.9,0.862
composite_p_up,Q1,137,510.40999999999985,0.863
composite_trend,Q2,153,545.7300000000001,0.864
rsi_5m,Q4,150,504.48999999999984,0.867
vwap_distance_pct,Q3,142,439.72,0.872
stoch_d,Q3,150,573.01,0.874
adx_4h,Q1,150,542.31,0.875
structure_bias,=-1.0,188,564.73,0.876
kelly_fraction,Q3,150,715.15,0.876
ema_stack_bias,=-1,124,500.7100000000001,0.877
chg_15m_r,Q4,150,503.50999999999993,0.88
macdh_4h,Q2,145,428.78000000000003,0.881
pctb_1h,Q1,149,561.46,0.892
hour_utc,Q1,132,574.9100000000001,0.893
demand_pct,Q4,72,458.11,0.895
tau_minutes,Q4,151,492.14,0.898
vwap_signal,=0.0,275,742.2,0.898
chg_4h_r,Q1,148,930.79,0.899
rvol20_5m,Q4,150,616.47,0.902
tau_minutes,Q2,149,757.3400000000001,0.903
pctb_4h,Q2,148,762.9000000000001,0.906
bbw_5m,Q4,152,596.28,0.908
vol_eff,Q3,150,803.6500000000001,0.909
stoch_15m,Q1,149,971.97,0.91
kelt_15m,Q2,148,970.6099999999999,0.912
p_market,Q3,165,746.26,0.913
ema_stack_bias,=-1.0,114,573.16,0.918
rvol20_15m,Q4,150,888.6400000000001,0.918
rsi_1h,Q3,151,1016.8199999999999,0.918
pctb_5m,Q1,150,923.56,0.918
adx_5m,Q2,151,618.01,0.92
chg_3h,Q1,99,763.3100000000002,0.92
macdh_15m,Q1,150,864.18,0.924
liq_bias,Q2,285,1209.0800000000002,0.925
vol_eff,Q4,150,736.3999999999999,0.927
kelt_4h,Q2,148,790.2700000000001,0.93
kelt_15m,Q1,150,675.61,0.933
oi_chg_pct,Q4,143,738.7099999999998,0.938
adx_1h,Q1,150,561.08,0.94
chg_30m,Q1,150,1077.1,0.94
vpin_raw,Q1,150,818.4900000000001,0.947
kelt_5m,Q4,151,738.1399999999999,0.947
dir_15m,=-1.0,329,1349.4699999999998,0.947
macdh_4h,Q1,149,734.5499999999998,0.947
sc_strength,Q4,152,1034.3400000000001,0.949
action,=re-entered,235,1030.5700000000002,0.949
bp_1h,Q2,98,548.1199999999999,0.949
pctb_1h,Q3,148,1130.83,0.95
stoch_1h,Q1,150,857.1200000000001,0.952
kelt_4h,Q1,150,816.39,0.953
bbw_1h,Q4,150,1115.04,0.957
stoch_d,Q1,150,1131.5999999999997,0.958
pctb_15m,Q1,148,1108.68,0.959
vol_60m,Q4,150,867.17,0.959
adx_15m,Q4,150,767.8099999999998,0.959
p_up_v2,Q2,146,788.5899999999999,0.96
donch_1h,Q1,149,888.5799999999999,0.961
ls_long_pct,Q4,143,853.03,0.964
bbw_4h,Q2,150,807.6999999999999,0.964
rvol_1h,Q4,150,841.02,0.965
composite_trend,Q1,146,971.06,0.97
chg_15m_r,Q3,150,735.85,0.971
chg_1h_r,Q4,150,858.77,0.973
donch_5m,Q4,150,886.75,0.975
rsi_4h,Q1,150,945.3,0.977
avg_funding_rate,Q4,150,925.7399999999998,0.978
bbw_15m,Q4,151,818.6800000000001,0.978
donch_15m,Q1,149,1303.73,0.978
bbw_5m,Q2,149,1262.27,0.98
stoch_bias,=1.0,141,1226.25,0.98
vol_60m_model,Q4,150,1065.6100000000001,0.985
stoch_k,Q1,149,1315.0499999999997,0.986
stoch_5m,Q4,150,994.1399999999999,0.986
pctb_4h,Q1,150,965.8899999999999,0.987
adx_4h,Q4,152,1107.6799999999998,0.987
donch_4h,Q1,150,1138.56,0.989
side,=yes,75,654.05,0.99
chg_5m,Q1,150,1392.69,0.99
stoch_4h,Q1,145,1215.67,0.991
rsi_15m,Q1,150,1026.27,0.991
pctb_5m,Q4,151,1133.09,0.992
chg_10m,Q1,150,1374.0700000000002,0.993
macdh_5m,Q4,151,1118.2199999999998,0.993
obi_raw,Q1,150,1439.08,0.994
kelt_1h,Q1,149,1152.8400000000001,0.994
avg_funding_rate,Q3,150,1670.35,0.995
rsi_1h,Q1,150,1166.6000000000001,0.995
chg_1h,Q3,99,915.1,0.997
rvol_1h,Q3,149,1321.4299999999998,0.997
pm_drift_5m,Q1,65,980.95,0.999
composite_rev,Q4,187,1880.9,1.0
